Front,Back,Tags
"What is the difference between Policy, Standard, Procedure, and Guideline?","Policy: High-level requirements (what must be done). Standard: Specific requirements (how to comply). Procedure: Step-by-step instructions. Guideline: Recommendations (best practices).","Domain5::Governance"
"What is an Acceptable Use Policy (AUP)?","Policy defining acceptable use of organizational IT resources. Covers: Internet use, email, software installation, personal devices. Users typically must sign before receiving access.","Domain5::Governance"
"What is the CISO's role in security governance?","Chief Information Security Officer: Develops security strategy, manages security program, ensures compliance, reports to board, manages budget, leads incident response, drives culture.","Domain5::Governance"
"What are the data roles in governance?","Owner: Responsible for data classification and protection (often business unit head). Custodian/Steward: Technical implementation of protection (IT). Processor: Handles data on behalf of owner (third party). Controller: Determines how data is used.","Domain5::Governance"
"What is a Business Continuity Plan (BCP)?","Plan maintaining essential business functions during disruption. Broader than IT - includes: Facilities, personnel, suppliers, communications. Goal: Continue critical operations.","Domain5::Governance"
"What is a Disaster Recovery Plan (DRP)?","IT-focused plan for recovering technology systems after disaster. Subset of BCP. Covers: Data backup, system recovery, alternate sites, RTO/RPO objectives.","Domain5::Governance"
"What is an Incident Response Plan (IRP)?","Plan for responding to security incidents. Defines: Roles, procedures, communication, escalation, evidence handling. Should be tested regularly via tabletop exercises.","Domain5::Governance"
"What is Change Management Policy?","Policy governing how changes are made to IT environment. Ensures: Proper approval, testing, documentation, rollback capability. Prevents unauthorized changes that create vulnerabilities.","Domain5::Governance"
"What is Version Control in security documentation?","Tracking changes to policies/procedures. Ensures: Users have current version, changes are authorized, history is maintained. Critical for compliance and consistency.","Domain5::Governance"
"What is the difference between Qualitative and Quantitative Risk Analysis?","Qualitative: Subjective ratings (High/Medium/Low) based on judgment. Quantitative: Numerical values (dollar amounts, percentages) based on data. Quantitative more precise but requires more data.","Domain5::RiskManagement"
"What is SLE (Single Loss Expectancy)?","Expected monetary loss from single risk event. Formula: SLE = Asset Value (AV) × Exposure Factor (EF). Used in quantitative risk analysis.","Domain5::RiskManagement"
"What is ARO (Annualized Rate of Occurrence)?","Estimated frequency of risk event per year. Example: If event expected every 5 years, ARO = 0.2. Used with SLE to calculate ALE.","Domain5::RiskManagement"
"What is ALE (Annualized Loss Expectancy)?","Expected monetary loss per year from risk. Formula: ALE = SLE × ARO. Helps prioritize risks and justify security investments. Compare ALE to cost of controls.","Domain5::RiskManagement"
"Calculate ALE given: Asset Value = $100,000, EF = 50%, ARO = 0.25","SLE = $100,000 × 0.50 = $50,000. ALE = $50,000 × 0.25 = $12,500 per year. If control costs less than $12,500 annually, it's cost-effective.","Domain5::RiskManagement"
"What is the Risk Register?","Document tracking identified risks. Contains: Risk description, probability, impact, risk score, mitigation strategy, owner, status. Living document updated regularly.","Domain5::RiskManagement"
"What are the 4 Risk Response Strategies?","Accept (acknowledge but take no action), Transfer (shift to third party - insurance), Mitigate (reduce likelihood/impact), Avoid (eliminate risk by not doing activity).","Domain5::RiskManagement"
"What is Risk Tolerance vs Risk Appetite?","Risk Appetite: Amount of risk organization is willing to pursue/retain (broad). Risk Tolerance: Acceptable variation relative to objectives (specific). Appetite frames, tolerance measures.","Domain5::RiskManagement"
"What is a Key Risk Indicator (KRI)?","Metric indicating potential risk events. Examples: Failed login attempts, unpatched systems, security training completion. Early warning system for emerging risks.","Domain5::RiskManagement"
"What is a Business Impact Analysis (BIA)?","Process identifying critical business functions and their dependencies. Determines: RTO, RPO, MTD, resource requirements. Foundation for BCP and DRP.","Domain5::RiskManagement"
"What is RTO (Recovery Time Objective)?","Maximum acceptable time to restore function after disruption. Drives: Technology selection, site type (hot/warm/cold), staffing plans. Business-driven, not IT-driven.","Domain5::RiskManagement"
"What is RPO (Recovery Point Objective)?","Maximum acceptable data loss in time. Drives: Backup frequency, replication strategy. RPO of 1 hour = backups/replication every hour.","Domain5::RiskManagement"
"What is MTTR (Mean Time to Repair/Recover)?","Average time to repair failed component. Used for: SLA planning, spare parts inventory, maintenance scheduling. Lower MTTR improves availability.","Domain5::RiskManagement"
"What is MTBF (Mean Time Between Failures)?","Average time between component failures. Used with MTTR to calculate availability. Higher MTBF = more reliable component.","Domain5::RiskManagement"
"What is the difference between Internal and External Audits?","Internal: Conducted by organization, focuses on improvement, continuous. External: Conducted by third party, objective, often required for compliance/certification.","Domain5::AuditsAssessments"
"What is a Penetration Test vs Vulnerability Assessment?","Penetration Test: Exploits vulnerabilities to assess impact (simulated attack). Vulnerability Assessment: Identifies and ranks vulnerabilities without exploiting. Pentest more invasive.","Domain5::AuditsAssessments"
"What are the Penetration Testing types by knowledge level?","Black Box: No prior knowledge (simulates external attacker). Gray Box: Some knowledge (simulates insider/authorized user). White Box: Full knowledge (comprehensive assessment).","Domain5::AuditsAssessments"
"What is an Attestation in security audits?","Formal declaration that something is true. Third-party attestation: Independent party verifies controls (SOC 2). Management attestation: Leadership confirms compliance.","Domain5::AuditsAssessments"
"What is a Self-Assessment?","Internal evaluation of security posture. Less formal than audit. Can use: Questionnaires, checklists, automated tools. Good for continuous monitoring and gap identification.","Domain5::AuditsAssessments"
"What is GDPR (General Data Protection Regulation)?","EU regulation protecting personal data of EU residents. Requirements: Consent, data minimization, right to erasure, breach notification (72 hours), privacy by design. Heavy fines for non-compliance.","Domain5::Compliance"
"What is HIPAA (Health Insurance Portability and Accountability Act)?","US law protecting health information (PHI). Applies to: Healthcare providers, insurers, business associates. Requirements: Administrative, physical, technical safeguards.","Domain5::Compliance"
"What is PCI DSS (Payment Card Industry Data Security Standard)?","Standard for organizations handling credit cards. 12 requirements covering: Firewalls, encryption, access control, monitoring, testing. Non-compliance = fines, loss of card processing.","Domain5::Compliance"
"What is SOC 2 (Service Organization Control 2)?","Audit report on service organization's controls. Trust Services Criteria: Security (required), Availability, Processing Integrity, Confidentiality, Privacy. Type I (point in time), Type II (over period).","Domain5::Compliance"
"What is the difference between Privacy and Security?","Security: Protecting data from unauthorized access (CIA). Privacy: Protecting personal information from misuse, ensuring individual control over their data. Privacy needs security, but security doesn't guarantee privacy.","Domain5::Compliance"
"What is Data Subject vs Controller vs Processor under GDPR?","Data Subject: Person data is about. Controller: Determines purpose/means of processing. Processor: Processes data on controller's behalf. Different obligations for each role.","Domain5::Compliance"
"What is the Right to be Forgotten?","GDPR provision allowing individuals to request deletion of personal data. Not absolute - exceptions for legal obligations, public interest. Organizations must have deletion procedures.","Domain5::Compliance"
"What is Jurisdiction in legal context?","Authority to make legal decisions. Cyber issues complicated by: Multiple jurisdictions, data crossing borders, cloud storage locations. Important for incident response and evidence.","Domain5::Compliance"
"What is the NIST Cybersecurity Framework (CSF)?","Risk-based framework with 5 functions: Identify (asset management), Protect (safeguards), Detect (monitoring), Respond (incident handling), Recover (restoration). Widely adopted voluntary framework.","Domain5::Frameworks"
"What is NIST SP 800-53?","Security and Privacy Controls for Federal Information Systems. Comprehensive catalog of controls. Used by US government, often referenced by others. Control families: Access Control, Audit, etc.","Domain5::Frameworks"
"What is ISO 27001?","International standard for Information Security Management Systems (ISMS). Requirements for establishing, implementing, maintaining, continually improving security. Certification available.","Domain5::Frameworks"
