Front,Back,Tags
What is a Threat Actor?,"Anything that can cause harm, loss, or compromise to IT systems. Can be individuals, groups, or nation-states.",2::Definitions
What is data exfiltration as a threat actor motivation?,"The unauthorized copying or transfer of sensitive data from a target system, often for competitive advantage or intelligence.",2::Definitions
What is blackmail as a threat actor motivation?,Threatening to reveal sensitive information about a victim unless demands (usually financial) are met.,2::Definitions
What is espionage as a threat actor motivation?,"Stealing secrets, intellectual property, or classified information for political, military, or economic advantage.",2::Definitions
What is service disruption as a threat actor motivation?,"Intentional disruption of services (e.g., DDoS, ransomware) to cause downtime, reputational damage, or financial loss.",2::Definitions
What is financial gain as a threat actor motivation?,"The most common motivation — stealing money, cryptocurrency, credit cards, or demanding ransoms.",2::Definitions
What is philosophical/political motivation for threat actors?,"Driven by ideology, political beliefs, or social causes — often seen with hacktivists.",2::Definitions
What is an ethical (ethical hacker) threat actor?,"Security researchers who find and disclose vulnerabilities responsibly, often through bug bounty programs.",2::Definitions
What is revenge as a threat actor motivation?,Disgruntled employees or former insiders seeking to harm an organization out of perceived grievances.,2::Definitions
What is chaos as a threat actor motivation?,"Motivation driven by desire to cause disruption, anarchy, or simply 'for the lulz' — no clear financial or political goal.",2::Definitions
What is cyberwarfare as a threat actor motivation?,"State-sponsored attacks targeting critical infrastructure, military systems, or government networks as acts of war.",2::Definitions
What is an unskilled attacker (script kiddie)?,"An inexperienced attacker who uses pre-made tools, scripts, and exploits downloaded from the internet with little understanding of how they work.",2::Definitions
What is a hacktivist?,"A threat actor driven by political or social ideology who defaces websites, leaks data, or disrupts services to promote a cause.",2::Definitions
What is organized crime in cybersecurity?,"Criminal groups motivated by financial gain who deploy ransomware, steal credit cards, commit fraud, and operate botnets.",2::Definitions
What is a nation-state threat actor?,"Government-sponsored, highly sophisticated attackers with deep resources who conduct espionage, sabotage, and APT operations.",2::Definitions
What is an insider threat?,"A current or former employee, contractor, or partner who poses a security risk — can be malicious (intentional) or negligent (accidental).",2::Definitions
What is shadow IT?,"The use of unauthorized hardware, software, or cloud services within an organization without IT department approval or knowledge.",2::Definitions
What is an APT (Advanced Persistent Threat)?,"A highly sophisticated, stealthy, and long-term targeted attack typically conducted by nation-state groups, focused on intelligence gathering over extended periods.",2::Definitions
What is a false flag attack?,An attack designed to appear as if it originated from a different group or nation-state to mislead attribution and provoke retaliation.,2::Definitions
What are TTPs?,"Tactics, Techniques, and Procedures — the specific methods, tools, and patterns used by a threat actor, used for profiling and attribution.",2::Definitions
What is the difference between internal and external threat actors?,"Internal actors are inside the organization (employees, contractors); external actors operate from outside the network perimeter.",2::Definitions
What is social engineering?,Psychological manipulation of people to divulge confidential information or perform actions that compromise security.,2::Definitions
What is phishing?,"Mass, generic emails sent to many recipients, impersonating legitimate entities to steal credentials or deliver malware.",2::Definitions
What is spear phishing?,"A highly targeted phishing attack directed at a specific individual, using personalized information to increase credibility.",2::Definitions
What is whaling?,"A spear phishing attack targeting senior executives (CEO, CFO) — the 'big fish' — often involving legal or financial pretexts.",2::Definitions
What is vishing?,"Voice phishing — social engineering conducted over phone calls, often spoofing caller ID to impersonate IT support or banks.",2::Definitions
What is smishing?,SMS text message phishing — sending fraudulent text messages with malicious links or requests for personal information.,2::Definitions
What is Business Email Compromise (BEC)?,A sophisticated scam targeting companies that wire large sums. Includes CEO fraud (impersonating executive) and account compromise.,2::Definitions
What is pretexting?,"Creating a fabricated scenario or false identity (e.g., impersonating a vendor, auditor, or IT tech) to extract information from a target.",2::Definitions
What is a watering hole attack?,"Compromising a website frequently visited by a target group to infect visitors with malware, relying on trust in the legitimate site.",2::Definitions
What is baiting?,"Offering something enticing (e.g., infected USB drive labeled 'Confidential' left in parking lot) to trick victims into installing malware.",2::Definitions
What is typosquatting (URL hijacking)?,"Registering domain names that are common misspellings of legitimate domains to capture traffic, steal credentials, or serve malware.",2::Definitions
What is brand impersonation?,"Creating fake websites, emails, or social media profiles that mimic a trusted brand to deceive victims into providing credentials or payment.",2::Definitions
What is in-person impersonation?,"Physically pretending to be someone else (e.g., a repair technician, delivery person, or new employee) to gain unauthorized access.",2::Definitions
What is authority as a social engineering trigger?,"Attackers impersonate figures of authority (CEO, IT director, law enforcement) to compel compliance through perceived power.",2::Definitions
What is urgency as a social engineering trigger?,Creating a false sense of time pressure ('Your account will be locked in 1 hour!') to bypass rational decision-making.,2::Definitions
What is social proof as a social engineering trigger?,"Exploiting the tendency to follow others' behavior — e.g., 'All your colleagues have already updated their password.'",2::Definitions
What is scarcity as a social engineering trigger?,"Creating artificial scarcity ('Only 5 items left!') to pressure victims into quick, unthinking actions.",2::Definitions
What is likability as a social engineering trigger?,"Building rapport, friendliness, and common ground to lower a victim's defenses and encourage compliance.",2::Definitions
What is fear as a social engineering trigger?,"Threatening negative consequences (arrest, account closure, legal action) to frighten victims into acting without verification.",2::Definitions
What is tailgating vs piggybacking?,"Tailgating: following an authorized person through a secured door without their knowledge. Piggybacking: entering with their consent after a polite request (e.g., 'I forgot my badge').",2::Definitions
What is a threat vector?,"The specific pathway, method, or mechanism used by a threat actor to gain unauthorized access or deliver a payload.",2::Definitions
What is an attack surface?,"The total sum of all potential entry points (network ports, APIs, users, devices, applications) that an attacker could exploit.",2::Definitions
What is a message-based threat vector?,"Attack delivered via email, SMS, or messaging apps — includes phishing, malicious attachments, and links.",2::Definitions
What is an image-based threat vector?,"Malware or exploits hidden within image files (e.g., steganography, pixel-level manipulation) used to deliver payloads or exfiltrate data.",2::Definitions
What is a file-based threat vector?,"Malicious executable files, PDFs, Office macros, or scripts delivered as attachments or downloads.",2::Definitions
What is a voice call threat vector?,"Social engineering conducted via phone calls (vishing), VoIP manipulation, or AI voice cloning for impersonation.",2::Definitions
What is a removable device threat vector?,"USB drives, SD cards, or external HDDs used to deliver malware (baiting) or exfiltrate data (insider threat).",2::Definitions
What is an unsecured network threat vector?,"Using public Wi-Fi, open networks, or rogue hotspots (Evil Twin) to intercept traffic or deliver attacks.",2::Definitions
What is a supply chain threat vector?,"Attacks targeting third-party vendors, software dependencies, hardware components, or service providers to compromise the primary target.",2::Definitions
What is an AI-augmented threat vector?,"Attack methods enhanced by artificial intelligence — AI-generated phishing, deepfake impersonation, automated vulnerability scanning, and adaptive malware.",2::Definitions
What are deepfakes in cybersecurity?,"AI-generated synthetic media (audio, video, images) that realistically impersonate individuals, used for fraud, disinformation, and social engineering.",2::Definitions
