Front,Back,Tags
What port does FTP use?,Port 21 (TCP),4 Security Operations
What port does SSH/SCP/SFTP use?,Port 22 (TCP),4 Security Operations
What port does Telnet use?,Port 23 (TCP),4 Security Operations
What port does SMTP use?,Port 25 (TCP),4 Security Operations
What port does DNS use?,Port 53 (TCP/UDP),4 Security Operations
What port does TFTP use?,Port 69 (UDP),4 Security Operations
What port does HTTP use?,Port 80 (TCP),4 Security Operations
What port does Kerberos use?,Port 88 (UDP),4 Security Operations
What port does POP3 use?,Port 110 (TCP),4 Security Operations
What port does IMAP use?,Port 143 (TCP),4 Security Operations
What port does SNMP use?,Port 161 (UDP),4 Security Operations
What port does SNMP Trap use?,Port 162 (UDP),4 Security Operations
What port does LDAP use?,Port 389 (TCP),4 Security Operations
What port does HTTPS use?,Port 443 (TCP),4 Security Operations
What port does SMB use?,Port 445 (TCP),4 Security Operations
What port does SMTPS use?,Ports 465 and 587 (TCP),4 Security Operations
What port does Syslog use?,Port 514 (UDP),4 Security Operations
What port does LDAPS use?,Port 636 (TCP),4 Security Operations
What port does IMAPS use?,Port 993 (TCP),4 Security Operations
What port does POP3S use?,Port 995 (TCP),4 Security Operations
What port does Microsoft SQL use?,Port 1433 (TCP),4 Security Operations
What port does RADIUS use?,Ports 1645/1646 (TCP) and 1812/1813 (UDP),4 Security Operations
What port does RDP use?,Port 3389 (TCP),4 Security Operations
What port does Syslog TLS use?,Port 6514 (TCP),4 Security Operations
What is a Packet Filtering Firewall?,Inspects packet headers for IP addresses and port numbers; operates at Layer 4,4 Security Operations
What is a Stateful Firewall?,"Tracks connections and requests, allowing return traffic for outbound requests; operates at Layer 4",4 Security Operations
What is a Proxy Firewall?,Makes connections on behalf of endpoints; can operate at Layer 5 (session) or Layer 7 (application),4 Security Operations
What is a Next Generation Firewall (NGFW)?,"Application-aware, conducts deep packet inspection, uses signature-based intrusion protection",4 Security Operations
What is a UTM (Unified Threat Management) Firewall?,Combines multiple security functions in a single device; uses separate individual engines,4 Security Operations
What is a Web Application Firewall (WAF)?,Focuses on inspecting HTTP traffic; prevents XSS and SQL injection,4 Security Operations
What is an ACL (Access Control List)?,Consists of permit and deny statements controlling traffic flow into and out of networks,4 Security Operations
What is the rule order for ACLs?,"Top-down; first matching rule is executed, so place most specific rules at the top",4 Security Operations
What is the key difference between IDS and IPS?,"IDS logs and alerts; IPS logs, alerts, AND takes action",4 Security Operations
What is a NIDS?,Network-based Intrusion Detection System - monitors traffic coming in and out of a network,4 Security Operations
What is a HIDS?,Host-based Intrusion Detection System - looks at suspicious network traffic going to or from a single endpoint,4 Security Operations
What is a WIDS?,Wireless Intrusion Detection System - detects attempts to cause DoS on wireless networks,4 Security Operations
What is Signature-based Detection?,Analyzes traffic based on defined signatures; can only recognize previously identified attacks,4 Security Operations
