Front,Back,Tags
"What is the Cloud Shared Responsibility Model?","Division of security responsibilities between cloud provider and customer. Varies by service model: IaaS (customer manages more), PaaS (shared), SaaS (provider manages more).","Domain3::ArchitectureModels"
"What is IaaS (Infrastructure as a Service)?","Cloud model providing virtualized computing resources. Customer manages: OS, applications, data. Provider manages: Hardware, network, virtualization. Examples: AWS EC2, Azure VMs.","Domain3::ArchitectureModels"
"What is PaaS (Platform as a Service)?","Cloud model providing development/deployment platform. Customer manages: Applications, data. Provider manages: Runtime, middleware, OS, infrastructure. Examples: Heroku, Google App Engine.","Domain3::ArchitectureModels"
"What is SaaS (Software as a Service)?","Cloud model providing fully managed applications. Provider manages everything; customer only uses application. Examples: Office 365, Salesforce, Gmail.","Domain3::ArchitectureModels"
"What is a Hybrid Cloud?","Combining private cloud (on-premises) with public cloud. Allows data/app portability between environments. Use cases: Burst capacity, sensitive data on-prem, compliance requirements.","Domain3::ArchitectureModels"
"What is Multi-Cloud?","Using multiple cloud providers (AWS + Azure + GCP). Avoids vendor lockout, improves resilience, enables best-of-breed services. Increases complexity in management.","Domain3::ArchitectureModels"
"What is Infrastructure as Code (IaC)?","Managing infrastructure through code files rather than manual configuration. Benefits: Version control, consistency, automation, rapid deployment. Tools: Terraform, CloudFormation.","Domain3::ArchitectureModels"
"What is Serverless Computing?","Cloud model where provider manages all infrastructure; code runs in response to events. Customer only writes functions. Examples: AWS Lambda, Azure Functions. Pay per execution.","Domain3::ArchitectureModels"
"What are Microservices?","Architectural approach building applications as small, independent services. Each service runs own process, communicates via APIs. Benefits: Scalability, resilience, independent deployment.","Domain3::ArchitectureModels"
"What is Containerization?","Packaging application with all dependencies into container. Portable, consistent across environments. Docker is primary technology. More lightweight than VMs.","Domain3::ArchitectureModels"
"What is Virtualization?","Creating virtual versions of computing resources (servers, storage, networks). Multiple VMs on single physical host. Hypervisor manages resource allocation. Types: Type 1 (bare metal), Type 2 (hosted).","Domain3::ArchitectureModels"
"What is an ICS/SCADA system?","Industrial Control Systems / Supervisory Control and Data Acquisition. Controls industrial processes (power plants, manufacturing). Legacy systems, often unpatched, high impact if compromised.","Domain3::ArchitectureModels"
"What is an RTOS (Real-Time Operating System)?","OS designed for real-time applications with strict timing requirements. Used in embedded systems, medical devices, automotive. Prioritizes deterministic response over throughput.","Domain3::ArchitectureModels"
"What is an Embedded System?","Computer system dedicated to specific function within larger system. Examples: IoT devices, automotive systems, medical devices. Often resource-constrained, hard to patch.","Domain3::ArchitectureModels"
"What is an Air-Gapped Network?","Network physically isolated from other networks (including internet). Highest security level. Used for: Classified systems, critical infrastructure, backup systems. Data transfer via removable media only.","Domain3::ArchitectureModels"
"What is Edge Computing?","Processing data near source rather than centralized cloud. Reduces latency, bandwidth usage. Important for IoT, autonomous vehicles, real-time applications. Security: Distributed protection needed.","Domain3::ArchitectureModels"
"What is IoT (Internet of Things) and its security concerns?","Network of physical devices with sensors/software. Security concerns: Weak/default passwords, unpatched firmware, lack of encryption, large attack surface, physical accessibility.","Domain3::ArchitectureModels"
"What is Software-Defined Networking (SDN)?","Network architecture separating control plane from data plane. Centralized controller manages network behavior. Benefits: Programmability, automation, dynamic configuration.","Domain3::ArchitectureModels"
"What is the Onion Model of security?","Layered defense where each layer protects inner layers. Layers: Physical → Network → Host → Application → Data. Multiple layers must be breached for successful attack.","Domain3::ArchitectureModels"
"What is Zero Trust Architecture vs Traditional Perimeter Model?","Traditional: Trust inside perimeter, verify outside. Zero Trust: Never trust, always verify, regardless of location. Assumes breach, verifies every access request.","Domain3::ArchitectureModels"
"What is Defense in Depth?","Implementing multiple overlapping security controls. No single point of failure. If one control fails, others provide protection. Combines preventive, detective, and corrective controls.","Domain3::SecurityPrinciples"
