Front,Back,Tags
"Insecure remote shell → secure replacement?","Telnet (port 23) → SSH (port 22). Telnet sends keystrokes including passwords in plaintext. SSH encrypts all traffic. Exam trap: if scenario needs 'secure remote CLI access', answer is SSH, not Telnet.","ProtocolPairs::RemoteAccess"
"Insecure web traffic → secure replacement?","HTTP (port 80) → HTTPS (port 443). HTTP sends data in cleartext. HTTPS adds TLS encryption + certificate validation. Exam trap: a login page served over HTTP is ALWAYS a vulnerability.","ProtocolPairs::Web"
"Insecure file transfer → secure replacement?","FTP (ports 20/21) → SFTP (port 22) or FTPS (ports 989/990). FTP sends credentials + data in plaintext. SFTP uses SSH. FTPS uses TLS. Exam trap: SFTP ≠ FTPS — different protocols despite similar names.","ProtocolPairs::FileTransfer"
"Insecure email retrieval (download) → secure replacement?","POP3 (port 110) → POP3S (port 995). POP3 downloads email unencrypted. POP3S wraps in TLS. Exam trap: POP3 deletes from server after download — no multi-device sync.","ProtocolPairs::Email"
"Insecure email retrieval (sync) → secure replacement?","IMAP (port 143) → IMAPS (port 993). IMAP keeps mail on server, syncs across devices. IMAPS encrypts. Exam trap: scenario says 'access email from phone and laptop' → IMAPS, not POP3S.","ProtocolPairs::Email"
"Insecure email sending → secure replacement?","SMTP (port 25) → SMTPS (port 465) or SMTP+STARTTLS (port 587). Port 25 is unauthenticated relay. Port 587 requires auth + supports TLS upgrade. Exam trap: 25 = server-to-server, 587 = client-to-server submission.","ProtocolPairs::Email"
"Insecure directory queries → secure replacement?","LDAP (port 389) → LDAPS (port 636). LDAP binds send BIND request with password. LDAPS encrypts entire LDAP session. Exam trap: LDAPS uses dedicated port 636, not STARTTLS on 389.","ProtocolPairs::Directory"
"Insecure network management → secure replacement?","SNMPv1/v2c (port 161) → SNMPv3 (port 161). v1/v2c use community strings (plaintext 'public'). v3 adds encryption + authentication. Exam trap: SNMPv3 uses same port 161 — different version, same port.","ProtocolPairs::Management"
"Insecure VPN → secure replacement?","PPTP (port 1723) → L2TP/IPsec (ports 1701/UDP + 500/UDP + 4500/UDP) or IKEv2 (500/4500) or SSTP (443). PPTP uses MPPE encryption (broken). L2TP/IPsec provides actual security.","ProtocolPairs::VPN"
"Insecure remote desktop → secure replacement?","VNC (port 5900) → RDP with NLA (port 3389) or SSH tunneling. VNC has no native encryption. RDP with Network Level Authentication (NLA) requires pre-authentication before session.","ProtocolPairs::RemoteAccess"
"Which protocol provides file integrity verification?","Hashing algorithms: SHA-256 (secure), SHA-3 (latest), SHA-2 family. NOT MD5 (collision attacks), SHA-1 (deprecated). Exam trap: hashing verifies integrity, encryption provides confidentiality.","ProtocolPairs::Cryptography"
"Which protocol provides data confidentiality?","Encryption: AES-256 (symmetric, bulk data), RSA/ECC (asymmetric, key exchange/digital signatures), ChaCha20 (mobile/IoT). Exam trap: symmetric = same key both ends, fast. Asymmetric = key pair, slower, used for key exchange.","ProtocolPairs::Cryptography"
"Which protocol provides non-repudiation?","Digital signatures. Sender signs hash of message with private key. Recipient verifies with public key. Provides: authentication (proves sender), integrity (hash unchanged), non-repudiation (sender cannot deny).","ProtocolPairs::Cryptography"
"Which protocol should replace deprecated SSL 3.0/TLS 1.0?","TLS 1.2 or TLS 1.3. SSL 3.0 (POODLE attack), TLS 1.0 (BEAST), TLS 1.1 (deprecated). TLS 1.3 removes insecure cipher suites, reduces handshake round trips (1-RTT vs 2-RTT). Exam trap: always choose TLS 1.2+ for 'secure' transport.","ProtocolPairs::SecureProtocol"
"Wireless: WPA2 vs WPA3?","WPA3 replaces WPA2. WPA2 uses 4-way handshake with Pre-Shared Key (vulnerable to dictionary attack via captured handshake). WPA3 uses SAE (Simultaneous Authentication of Equals) — provides forward secrecy + offline dictionary attack protection.","ProtocolPairs::Wireless"
"Email authentication: SPF vs DKIM vs DMARC?","SPF: TXT record listing authorized sending IPs (envelope spoofing). DKIM: digital signature on email headers (content tampering). DMARC: policy telling receivers what to do if SPF/DKIM fail (p=none, p=quarantine, p=reject). Exam trap: ALL three needed for anti-spoofing.","ProtocolPairs::EmailSecurity"
"Key exchange: Diffie-Hellman vs RSA?","Diffie-Hellman: two parties establish shared secret over insecure channel. Provides forward secrecy (ephemeral keys). RSA key exchange: encrypts pre-master secret with server's public key. No forward secrecy. Exam trap: DHE/ECDHE preferred over RSA key exchange for PFS.","ProtocolPairs::Cryptography"
"Port security: 802.1X vs MAC filtering?","802.1X: port-based NAC using EAP authentication (RADIUS backend). Each device must authenticate before accessing network. MAC filtering: allowlist MAC addresses — trivially spoofed. Exam trap: 802.1X is real security. MAC filtering is NOT security.","ProtocolPairs::NetworkSecurity"
"Cloud security: CASB vs CSPM vs CWPP?","CASB (Cloud Access Security Broker): visibility + control between users and cloud apps (shadow IT). CSPM (Cloud Security Posture Mgmt): detects cloud misconfigurations (S3 bucket open). CWPP (Cloud Workload Protection Platform): protects VMs/containers workloads.","ProtocolPairs::Cloud"
"Authentication: SAML vs OIDC vs OAuth 2.0?","SAML: XML-based SSO for enterprise apps (ADFS, Okta). OIDC (OpenID Connect): JSON-based SSO over OAuth 2.0 for modern apps. OAuth 2.0: authorization delegation ONLY (not auth). Exam trap: SAML = enterprise SSO, OIDC = modern/mobile SSO, OAuth = API permissions.","ProtocolPairs::Authentication"
"RADIUS vs TACACS+?","RADIUS: IETF standard AAA. UDP ports 1812/1813. Encrypts only password. Combines auth + authorization. Used for 802.1X, VPN, WPA-Enterprise. TACACS+: Cisco proprietary. TCP port 49. Encrypts entire packet. Separates auth, authorization, accounting.","ProtocolPairs::AAA"
"IDS vs IPS?","IDS (Intrusion Detection System): passive monitoring, alerts on anomalies. No traffic blocking. IPS (Intrusion Prevention System): inline, can block malicious traffic in real-time. Exam trap: IDS = monitor + alert. IPS = monitor + block. Never pick IDS when scenario requires blocking.","ProtocolPairs::SecurityControls"
"Stateless vs Stateful firewall?","Stateless: filters each packet independently — no connection tracking. Fast but can't detect out-of-state packets. Stateful: tracks connection state (SYN→SYN-ACK→ACK). Allows return traffic automatically. Knows if packet belongs to established connection. Exam trap: stateful is default modern firewall.","ProtocolPairs::Firewall"
"WAF vs NGFW?","WAF (Web Application Firewall): Layer 7, protects web apps from SQLi, XSS, CSRF. Understands HTTP/HTTPS. NGFW (Next-Gen Firewall): combines stateful firewall + IPS + app awareness. WAF sits in front of web servers. NGFW at network perimeter.","ProtocolPairs::Firewall"
"VPN: Site-to-site vs Remote access vs Clientless?","Site-to-site: connects two networks (IPsec tunnel between gateways). Remote access: user device to network (VPN client). Clientless: browser-based SSL VPN (no software — uses HTML5/Java). Exam trap: ZTNA is replacing traditional VPN for remote access (app-level vs network-level).","ProtocolPairs::VPN"
"TLS 1.2 vs TLS 1.3?","TLS 1.2: handshake 2-RTT, supports many cipher suites (some insecure). TLS 1.3: handshake 1-RTT (0-RTT for resumption), removes insecure ciphers (RC4, DES, 3DES), only supports AEAD ciphers (AES-GCM, ChaCha20-Poly1305). Perfect forward secrecy REQUIRED in 1.3.","ProtocolPairs::Cryptography"
"Full backup vs Incremental vs Differential?","Full: all data. Restore: need only last full. Incremental: changes since last backup (full OR incremental). Restore: need full + ALL incrementals. Differential: changes since last full. Restore: need full + last differential. Exam trap: incremental = fastest backup, slowest restore. Differential = moderate both.","ProtocolPairs::Backup"
"Everything should be automated: SOAR vs SIEM vs EDR?","SIEM: log aggregation + correlation + alerting (Splunk, ELK). EDR: endpoint threat detection + response (CrowdStrike, Defender). SOAR: orchestrates automated response playbooks across SIEM/EDR/ticketing. Exam trap: SOAR is the automation layer on top of SIEM/EDR.","ProtocolPairs::SecurityTools"
"Hot site vs Warm site vs Cold site?","Hot site: fully redundant, real-time data sync, minutes RTO. Most expensive. Warm site: partially configured, near-RPO data sync, hours RTO. Moderate cost. Cold site: empty facility, no equipment, days-weeks RTO. Cheapest. Exam trap: RPO/RTO requirements determine site choice, not budget alone.","ProtocolPairs::BCDR"
