Front,Back,Tags
What is a Threat Actor?,"Anything that could cause harm, loss, damage, or compromise to IT systems",2 Threats Vulnerabilities Mitigations
What are common Threat Actor Motivations?,"Data Exfiltration, Blackmail, Espionage, Service Disruption, Financial Gain, Philosophical/Political Beliefs, Ethical Reasons, Revenge, Disruption/Chaos, and War",2 Threats Vulnerabilities Mitigations
What are the two most basic attributes of a Threat Actor?,"Internal vs. External, and differences in resources/funding and level of sophistication",2 Threats Vulnerabilities Mitigations
What is an Unskilled Attacker (Script Kiddie)?,Individual with limited technical expertise who uses readily available tools and scripts developed by others,2 Threats Vulnerabilities Mitigations
What is a Hacktivist?,"Individual or group driven by political, social, or environmental ideologies; uses hacking to promote a cause",2 Threats Vulnerabilities Mitigations
What techniques do Hacktivists use?,"Website Defacement, DDoS Attacks, Doxing, and Leaking of Sensitive Data",2 Threats Vulnerabilities Mitigations
What is Organized Crime in cybersecurity?,"Groups or syndicates that conduct criminal activities in the digital world for financial gain (e.g., ransomware, identity theft)",2 Threats Vulnerabilities Mitigations
What is a Nation-state Actor?,Highly skilled attackers sponsored by governments for cyber espionage or warfare,2 Threats Vulnerabilities Mitigations
What is a False Flag Attack?,Attack orchestrated to appear as if it originates from a different source to mislead investigators,2 Threats Vulnerabilities Mitigations
What is an Advanced Persistent Threat (APT)?,A prolonged and targeted cyberattack where an intruder gains unauthorized access and remains undetected for an extended period,2 Threats Vulnerabilities Mitigations
What is an Insider Threat?,"Security threat originating from within the organization; can take forms like data theft, sabotage, or misuse of access privileges",2 Threats Vulnerabilities Mitigations
What is Shadow IT?,"Use of IT systems, devices, software, or services without explicit organizational approval",2 Threats Vulnerabilities Mitigations
What is BYOD (Bring Your Own Device)?,Involves the use of personal devices for work purposes,2 Threats Vulnerabilities Mitigations
What is a Threat Vector?,Means or pathway by which an attacker can gain unauthorized access to deliver a malicious payload,2 Threats Vulnerabilities Mitigations
What is an Attack Surface?,Encompasses all various points where an unauthorized user can try to enter or extract data from an environment,2 Threats Vulnerabilities Mitigations
What are common threat vectors?,"Message-based, Image-based, File-based, Voice Calls, Removable Devices, and Unsecured Networks",2 Threats Vulnerabilities Mitigations
What is Baiting?,Attacker leaves a malware-infected USB drive where a target might find it,2 Threats Vulnerabilities Mitigations
What is Vishing?,Use of voice calls to trick victims into revealing sensitive information,2 Threats Vulnerabilities Mitigations
What is BlueBorne?,Set of vulnerabilities in Bluetooth technology that can allow an attacker to take over devices without user interaction,2 Threats Vulnerabilities Mitigations
What is BlueSmack?,Type of DoS attack targeting Bluetooth-enabled devices by sending specially crafted L2CAP packets,2 Threats Vulnerabilities Mitigations
What is a Honeypot?,Decoy system to attract and deceive attackers,2 Threats Vulnerabilities Mitigations
What is a Honeynet?,Network of decoy systems for observing complex attacks,2 Threats Vulnerabilities Mitigations
What is a Honeyfile?,Decoy file to detect unauthorized access or data breaches,2 Threats Vulnerabilities Mitigations
What is a Honeytoken?,Fake data to alert administrators when accessed or used,2 Threats Vulnerabilities Mitigations
What are TTPs?,"Tactics, Techniques, and Procedures - specific methods and patterns associated with a threat actor",2 Threats Vulnerabilities Mitigations
What is Social Engineering?,"Manipulative strategy exploiting human psychology for unauthorized access to systems, data, or physical spaces",2 Threats Vulnerabilities Mitigations
What are the six main motivational triggers used by social engineers?,"Authority, Urgency, Social Proof, Scarcity, Likability, and Fear",2 Threats Vulnerabilities Mitigations
What is Impersonation?,Pretending to be someone else to gain unauthorized access,2 Threats Vulnerabilities Mitigations
What is Brand Impersonation?,Attacker pretends to represent a legitimate company or brand using logos and language,2 Threats Vulnerabilities Mitigations
