Front,Back,Tags
What is IAM?,Identity and Access Management — managing digital identities and their access,secp701::d4::iam
What is multi-factor authentication (MFA)?,Authentication requiring two or more different factors,secp701::d4::iam
What is single sign-on (SSO)?,One set of credentials granting access to multiple systems,secp701::d4::iam
What is federation?,Trust between organizations to share identities (SAML enables it),secp701::d4::iam
What is SAML?,A standard for exchanging authentication and authorization assertions (SSO),secp701::d4::iam
What is OAuth?,A standard for delegated authorization (apps acting on your behalf),secp701::d4::iam
What is OIDC?,OpenID Connect — an authentication layer built on OAuth 2.0,secp701::d4::iam
What is PAM?,Privileged Access Management — securing and monitoring privileged accounts,secp701::d4::iam
What is MAC (mandatory access control)?,Access granted by security labels — user label must dominate the resource label,secp701::d4::iam
What is DAC (discretionary access control)?,Resource owners decide who can access their resources,secp701::d4::iam
What is RBAC?,Access granted by job role — permissions assigned to roles not individuals,secp701::d4::iam
What is rule-based access control?,Access granted by rules or ACLs applied across multiple users,secp701::d4::iam
What is ABAC?,"Access based on attributes of user, resource, and environment",secp701::d4::iam
What is the principle of least privilege?,Granting users only the minimum access needed to do their job,secp701::d4::iam
What is separation of duties?,Splitting sensitive tasks among multiple people to prevent fraud or abuse,secp701::d4::iam
What is just-in-time (JIT) access?,Privileges granted only when needed and revoked afterward,secp701::d4::iam
What is a password spraying attack?,"Trying one common password against many accounts, avoiding lockouts",secp701::d4::iam
What makes a strong password policy?,"Length over complexity, passphrases, MFA, and no reuse",secp701::d4::iam
What does a password manager do?,Stores credentials in an encrypted vault,secp701::d4::iam
What is an account lockout policy?,Locking an account after repeated failed logins (blocks brute force),secp701::d4::iam
What is a zero-day vulnerability?,"A vulnerability unknown to the vendor, with no patch available",secp701::d4::vulnerabilities
What is bluejacking?,Sending unsolicited messages over Bluetooth,secp701::d4::vulnerabilities
What is bluesnarfing?,Stealing data over Bluetooth without authorization,secp701::d4::vulnerabilities
What is jailbreaking (or rooting)?,Removing OS restrictions to run unauthorized software,secp701::d4::vulnerabilities
What is sideloading?,Installing apps from outside the official app store,secp701::d4::vulnerabilities
What is SQL injection?,Injecting malicious SQL through input; prevented by parameterized queries,secp701::d4::vulnerabilities
What is XML injection?,Injecting malicious XML to manipulate an application's processing,secp701::d4::vulnerabilities
What is XSS (cross-site scripting)?,Injecting scripts into web pages viewed by other users,secp701::d4::vulnerabilities
What is CSRF (XSRF)?,Tricking a logged-in user's browser into making unwanted requests,secp701::d4::vulnerabilities
What is a buffer overflow?,Writing data past a buffer's boundary to overwrite memory,secp701::d4::vulnerabilities
What is a race condition?,A flaw where the outcome depends on timing (TOCTOU is a classic example),secp701::d4::vulnerabilities
What is a DDoS attack?,Flooding a target with traffic from many systems to make it unavailable,secp701::d4::attacks
What is a DNS amplification attack?,A DDoS using small DNS queries that produce large responses,secp701::d4::attacks
What is DNS poisoning?,Inserting false records into DNS responses to redirect users,secp701::d4::attacks
What is directory traversal?,Using ../ sequences to access files outside the web root,secp701::d4::attacks
What is privilege escalation?,Gaining higher privileges than intended,secp701::d4::attacks
What is a replay attack?,Capturing valid traffic and resending it (prevented by timestamps and nonces),secp701::d4::attacks
What is session hijacking?,Stealing a session token or cookie to impersonate a user,secp701::d4::attacks
What is an on-path (man-in-the-middle) attack?,Intercepting traffic between two parties,secp701::d4::attacks
What is an indicator of compromise (IoC)?,"Evidence that a system has been compromised (hashes, IPs, unusual behavior)",secp701::d4::attacks
What is credential harvesting?,Collecting usernames and passwords from a target,secp701::d4::attacks
What is OSINT?,Open-Source Intelligence — info gathered from public sources,secp701::d4::attacks
What is hardening?,Reducing attack surface by securing configurations,secp701::d4::hardening
What is the first hardening step for default installations?,"Changing default usernames, passwords, and configurations",secp701::d4::hardening
What is an allowlist?,A list of applications or entities explicitly permitted,secp701::d4::hardening
What is a denylist?,A list of applications or entities explicitly blocked,secp701::d4::hardening
What is a trusted operating system?,An OS with built-in mandatory controls (e.g. SELinux),secp701::d4::hardening
What is SELinux?,Security-Enhanced Linux — mandatory access control built into Linux,secp701::d4::hardening
What is patch management?,"The process of planning, testing, deploying, and auditing updates",secp701::d4::hardening
What is Group Policy (GPO)?,Centralized configuration management for Windows domains,secp701::d4::hardening
What is a secure baseline?,A documented minimum security configuration,secp701::d4::hardening
What is secure boot?,UEFI verifying that boot components are digitally signed,secp701::d4::hardening
What is measured boot?,Recording hashes of boot components to detect tampering,secp701::d4::hardening
