Front,Back,Tags
"What are the 6 security control types in the CompTIA Security+ framework?","Preventive (blocks attacks), Detective (identifies attacks), Corrective (fixes damage), Deterrent (discourages attacks), Compensating (alternative controls), Directive (guides behavior). Example: Firewall = Preventive; CCTV = Detective; Backups = Corrective.","Domain1::SecurityControls"
"What are the 4 security control categories?","Technical (hardware/software), Managerial (policies/procedures), Operational (people-based), Physical (tangible barriers). Categories describe WHO implements; Types describe WHAT they do.","Domain1::SecurityControls"
"Given a scenario: A company installs security cameras to monitor server room access. What control type and category is this?","Detective control (identifies events after they occur) + Physical category (tangible device). Cameras don't prevent access but record it for review.","Domain1::SecurityControls"
"What is the difference between Preventive and Detective controls?","Preventive controls STOP attacks before they succeed (firewall, encryption). Detective controls IDENTIFY attacks that have occurred (logs, IDS, CCTV). Both are needed for defense in depth.","Domain1::SecurityControls"
"What is a Compensating control and when is it used?","An alternative control implemented when primary control cannot be used. Example: If encryption isn't possible, implement strict access logging and monitoring as compensation.","Domain1::SecurityControls"
"What is a Deterrent control? Give 3 examples.","A control designed to discourage attacks. Examples: Warning banners ("Authorized Access Only"), security guards visible presence, CCTV cameras (even if fake), tough password policies.","Domain1::SecurityControls"
"What is a Directive control? Provide examples.","Controls that direct/guide behavior toward security compliance. Examples: Security policies, acceptable use policies (AUP), security awareness training requirements, mandatory vacation policies.","Domain1::SecurityControls"
"What is the CIA Triad in information security?","Confidentiality (prevent unauthorized disclosure), Integrity (prevent unauthorized modification), Availability (ensure timely access). Foundation of all security principles.","Domain1::FundamentalConcepts"
"What is AAA in security? Explain each component.","Authentication (verify identity - who you are), Authorization (grant permissions - what you can do), Accounting (track actions - what you did). Used for access control systems.","Domain1::FundamentalConcepts"
"What is Non-repudiation and how is it achieved?","Ensuring a party cannot deny having performed an action. Achieved through digital signatures, audit logs, and timestamps. Critical for legal and financial transactions.","Domain1::FundamentalConcepts"
"What is Defense in Depth?","Layered security approach using multiple overlapping controls. If one layer fails, others provide protection. Layers: Physical → Network → Host → Application → Data.","Domain1::FundamentalConcepts"
"What is Zero Trust Architecture (ZTA)?","Security model assuming no trust by default - 'never trust, always verify.' Principles: Verify explicitly, use least privilege access, assume breach. Eliminates implicit trust zones.","Domain1::FundamentalConcepts"
"What are the 3 core components of Zero Trust?","1) Control Plane (Policy Engine, Policy Administrator), 2) Data Plane (Policy Enforcement Points), 3) Subject/System (users/devices requesting access). No implicit trust zones exist.","Domain1::FundamentalConcepts"
"What is deception technology in security? Give examples.","Technologies designed to mislead attackers. Examples: Honeypot (fake system), Honeynet (fake network), Honeyfile (bait file), Honeytoken (fake credentials/data).","Domain1::FundamentalConcepts"
"What is the difference between Authentication and Authorization?","Authentication = PROVING identity (password, biometric). Authorization = GRANTING permissions (what resources you can access AFTER authentication). Always authenticate first, then authorize.","Domain1::FundamentalConcepts"
"What are the key elements of change management?","Approval process, stakeholder identification, impact analysis, test results, backout/rollback plan, maintenance window, documentation updates, version control.","Domain1::ChangeManagement"
"What is a backout plan in change management?","Pre-defined procedure to restore systems to pre-change state if the change fails. Critical for minimizing downtime and business impact. Must be tested before implementation.","Domain1::ChangeManagement"
"What documentation must be updated after a security change?","Network diagrams, system documentation, policies/procedures, allow lists/deny lists, standard operating procedures (SOPs), version control records.","Domain1::ChangeManagement"
"What is a maintenance window?","Scheduled time period when changes can be made with minimal business impact. Typically during off-peak hours. Changes outside window require emergency approval.","Domain1::ChangeManagement"
"What is the difference between Symmetric and Asymmetric encryption?","Symmetric: One shared key for encryption/decryption (fast, AES). Asymmetric: Key pair - public encrypts, private decrypts (slower, RSA/ECC). Asymmetric solves key distribution problem.","Domain1::CryptographicSolutions"
"What is AES and what key lengths does it support?","Advanced Encryption Standard - symmetric block cipher. Supports 128, 192, and 256-bit keys (AES-256 is strongest). Replaced DES as standard. Fast and secure for bulk encryption.","Domain1::CryptographicSolutions"
"What is RSA used for in cryptography?","Asymmetric algorithm for encryption and digital signatures. Based on factoring large prime numbers. Key sizes: 2048-bit minimum (4096-bit recommended). Slower than symmetric algorithms.","Domain1::CryptographicSolutions"
"What is ECC (Elliptic Curve Cryptography)?","Asymmetric algorithm using elliptic curves. Provides equivalent security to RSA with smaller key sizes (256-bit ECC ≈ 3072-bit RSA). Faster computations, ideal for mobile/IoT devices.","Domain1::CryptographicSolutions"
"What is the purpose of hashing? Provide secure hash algorithms.","Creates fixed-length unique digest of data for integrity verification. Secure: SHA-256, SHA-3. Weak/deprecated: MD5 (collisions found), SHA-1 (deprecated). One-way function - cannot reverse.","Domain1::CryptographicSolutions"
"What is salting and why is it important?","Adding random data to input before hashing. Prevents rainbow table attacks and ensures identical passwords produce different hashes. Each user gets unique salt stored with hash.","Domain1::CryptographicSolutions"
"What is a digital signature and how does it work?","Provides authentication, integrity, and non-repudiation. Created by hashing message and encrypting hash with sender's PRIVATE key. Verified with sender's PUBLIC key.","Domain1::CryptographicSolutions"
"What is PKI (Public Key Infrastructure)?","System for managing public-key encryption. Components: Certificate Authorities (CAs), certificates, registration authorities, revocation lists (CRL), OCSP for status checking.","Domain1::CryptographicSolutions"
"What is the difference between a Public Key and Private Key?","Public Key: Shared openly, used to encrypt data or verify signatures. Private Key: Kept secret, used to decrypt data or create signatures. Mathematically related but cannot derive one from other.","Domain1::CryptographicSolutions"
"What is a Certificate Authority (CA)?","Trusted third party that issues, manages, and revokes digital certificates. Root CAs are self-signed; Intermediate CAs chain to root. Validates identity before certificate issuance.","Domain1::CryptographicSolutions"
"What is the difference between CRL and OCSP?","CRL (Certificate Revocation List): Downloadable list of revoked certificates. OCSP (Online Certificate Status Protocol): Real-time protocol to check single certificate status. OCSP is faster.","Domain1::CryptographicSolutions"
"What is a self-signed certificate? When is it acceptable?","Certificate signed by its own creator (not trusted CA). Acceptable for internal/testing use only. Browsers show warnings because trust cannot be verified externally.","Domain1::CryptographicSolutions"
"What is a wildcard certificate?","Certificate that secures a domain and all its subdomains (*.example.com). Reduces management overhead but if compromised, all subdomains are at risk.","Domain1::CryptographicSolutions"
"What is Full Disk Encryption (FDE)?","Encrypts entire hard drive including OS, applications, and data. Protects data at rest. Examples: BitLocker (Windows), FileVault (Mac), LUKS (Linux). Requires authentication at boot.","Domain1::CryptographicSolutions"
"What is TLS 1.3 and what improvements does it offer?","Latest Transport Layer Security version. Improvements: Faster handshake (1-RTT), removed weak algorithms, perfect forward secrecy mandatory, encrypted handshake certificates. Replaces SSL/TLS 1.2.","Domain1::CryptographicSolutions"
"What is key escrow?","Storing cryptographic keys with a trusted third party for recovery purposes. Controversial for privacy but useful for business continuity and legal compliance.","Domain1::CryptographicSolutions"
"What is a Hardware Security Module (HSM)?","Dedicated hardware for secure key generation, storage, and cryptographic operations. Tamper-resistant. Used for high-security environments like CAs and financial systems.","Domain1::CryptographicSolutions"
"What is a TPM (Trusted Platform Module)?","Hardware chip providing cryptographic functions including secure key storage, hardware authentication, and encryption support. Used for secure boot, BitLocker, and device attestation.","Domain1::CryptographicSolutions"
"What is steganography?","Hiding data within other files (images, audio, video). Different from encryption (which scrambles data). Used for covert communication and digital watermarking.","Domain1::CryptographicSolutions"
"What is tokenization vs masking?","Tokenization: Replace sensitive data with non-sensitive token (reversible). Masking: Hide parts of data (irreversible). Both protect data while maintaining functionality.","Domain1::CryptographicSolutions"
"What is key stretching?","Technique to make weak passwords stronger by applying hash function multiple times. Examples: PBKDF2, bcrypt, Argon2. Slows down brute-force attacks.","Domain1::CryptographicSolutions"
"What is blockchain and how does it relate to security?","Distributed ledger technology using cryptographic hashing and consensus. Each block contains hash of previous block creating tamper-evident chain. Used for cryptocurrency and immutable records.","Domain1::CryptographicSolutions"
"What is Perfect Forward Secrecy (PFS)?","Ensures session keys are not compromised even if long-term private key is compromised. Achieved using ephemeral key exchange (DHE, ECDHE). Mandatory in TLS 1.3.","Domain1::CryptographicSolutions"
"What is the difference between data at rest, in transit, and in use?","At rest: Stored on disk (encrypt with FDE). In transit: Moving across network (use TLS/VPN). In use: In memory/processing (use confidential computing/secure enclaves).","Domain1::CryptographicSolutions"
"What is a secure enclave?","Hardware-isolated processing environment protecting data in use. Examples: Intel SGX, ARM TrustZone. Sensitive operations run in enclave where even OS cannot access data.","Domain1::CryptographicSolutions"
"What is quantum-resistant cryptography?","Cryptographic algorithms designed to be secure against quantum computer attacks. Current concern: RSA/ECC may be broken by quantum computers. NIST standardizing post-quantum algorithms.","Domain1::CryptographicSolutions"
"Given a scenario: Company needs to encrypt database records containing PII. What encryption approach is best?","Database-level encryption or field-level encryption with proper key management. Consider tokenization for credit cards (PCI DSS). Use AES-256 with secure key storage (HSM preferred).","Domain1::CryptographicSolutions"
"What is the difference between stream and block ciphers?","Stream cipher: Encrypts data one bit/byte at a time (fast, RC4). Block cipher: Encrypts fixed-size blocks (AES, DES). Block ciphers more secure; stream ciphers faster for real-time.","Domain1::CryptographicSolutions"
"What is a Diffie-Hellman key exchange?","Method for two parties to establish shared secret over insecure channel. Enables secure key exchange without transmitting the key. Forms basis of many protocols (TLS, IPsec).","Domain1::CryptographicSolutions"
"What is a Certificate Signing Request (CSR)?","Message sent to CA to request digital certificate. Contains public key and identifying information. CA validates identity, signs CSR, returns certificate.","Domain1::CryptographicSolutions"
"What is the root of trust in PKI?","Trusted anchor point for certificate validation. Root CA certificates are self-signed and pre-installed in OS/browsers. All certificate chains must trace back to trusted root.","Domain1::CryptographicSolutions"
"What is obfuscation in security?","Making code or data difficult to understand while maintaining functionality. Used to protect intellectual property. Not encryption - can be reversed with effort.","Domain1::CryptographicSolutions"
"What is the difference between encoding, encryption, and hashing?","Encoding: Reversible transformation for compatibility (Base64). Encryption: Reversible transformation for confidentiality (requires key). Hashing: One-way transformation for integrity (irreversible).","Domain1::CryptographicSolutions"
"Given a scenario: User reports their laptop with sensitive data was stolen. What cryptographic control would have prevented data exposure?","Full Disk Encryption (FDE) would have protected data at rest. Without decryption key, thief cannot access data even with physical possession of drive.","Domain1::CryptographicSolutions"
