Front,Back,Tags
What are the five steps of the Risk Management Lifecycle?,"Risk Identification, Risk Analysis, Risk Treatment, Risk Monitoring, and Risk Reporting",5 Security Program Management Oversight
What are the four risk treatment strategies?,"Avoidance, Reduction (Mitigation), Sharing (Transference), and Acceptance",5 Security Program Management Oversight
What is Risk Transference?,"Shifts risk to another party (e.g., insurance, contract indemnity clauses)",5 Security Program Management Oversight
What is Risk Acceptance?,Acknowledge and deal with risk if it occurs; no actions taken to mitigate,5 Security Program Management Oversight
What is Risk Avoidance?,Change plans or strategies to eliminate a specific risk,5 Security Program Management Oversight
What is Risk Mitigation?,Take steps to reduce likelihood or impact of risk,5 Security Program Management Oversight
What is Residual Risk?,"Likelihood and impact of risk after mitigation, transference, or acceptance measures have been taken",5 Security Program Management Oversight
What is Control Risk?,Assessment of how a security measure has lost effectiveness over time,5 Security Program Management Oversight
What are the four types of Risk Assessment frequencies?,"Ad-Hoc, Recurring, One-Time, and Continuous",5 Security Program Management Oversight
What is Qualitative Risk Analysis?,"Assesses risks based on potential impact and likelihood; categorizes as high, medium, or low",5 Security Program Management Oversight
What is Quantitative Risk Analysis?,"Provides objective numerical evaluation of risks using SLE, EF, ARO, and ALE",5 Security Program Management Oversight
What is SLE (Single Loss Expectancy)?,Monetary value expected to be lost in a single event; calculated as Asset Value x EF,5 Security Program Management Oversight
What is EF (Exposure Factor)?,Proportion of asset lost in an event (0% to 100%),5 Security Program Management Oversight
What is ARO (Annualized Rate of Occurrence)?,Estimated frequency of threat occurrence within a year,5 Security Program Management Oversight
What is ALE (Annualized Loss Expectancy)?,Expected annual loss from a risk; calculated as SLE x ARO,5 Security Program Management Oversight
What is a Risk Register?,"Records identified risks, descriptions, impacts, likelihoods, and mitigation actions",5 Security Program Management Oversight
What is Risk Tolerance?,Maximum amount of risk an organization is willing to accept,5 Security Program Management Oversight
What is Risk Appetite?,"Willingness to pursue or retain risk (Expansionary, Conservative, or Neutral)",5 Security Program Management Oversight
What are KRIs (Key Risk Indicators)?,Predictive metrics signaling increasing risk exposure,5 Security Program Management Oversight
What is a Risk Owner?,"Individual responsible for managing the risk, monitoring, and implementing mitigation actions",5 Security Program Management Oversight
What is Governance?,"Overall management of IT infrastructure, policies, procedures, and operations",5 Security Program Management Oversight
What is the GRC Triad?,"Governance, Risk, and Compliance",5 Security Program Management Oversight
What is a Policy?,High-level guidelines indicating organizational commitments,5 Security Program Management Oversight
What is a Standard?,"Specific, mandatory actions or rules adhering to policies",5 Security Program Management Oversight
What is a Procedure?,Step-by-step instructions ensuring consistency and compliance,5 Security Program Management Oversight
What is an AUP (Acceptable Use Policy)?,Document outlining do's and don'ts for users interacting with IT systems,5 Security Program Management Oversight
What is an Information Security Policy?,Cornerstone of security outlining how an organization protects information assets,5 Security Program Management Oversight
What is an Incident Response Policy?,"Addresses detection, reporting, assessment, response, and learning from security incidents",5 Security Program Management Oversight
What is an SDLC Policy?,Guides software development stages from requirements to maintenance including secure coding practices,5 Security Program Management Oversight
What is Compliance?,"Adherence to laws, regulations, standards, and policies",5 Security Program Management Oversight
What is Due Diligence?,Identifying compliance risks through thorough review,5 Security Program Management Oversight
What is Due Care?,Mitigating identified risks,5 Security Program Management Oversight
What is Attestation?,Formal declaration that processes and controls are compliant,5 Security Program Management Oversight
What is Internal Compliance Reporting?,Ensures adherence to internal policies and procedures,5 Security Program Management Oversight
What is External Compliance Reporting?,Demonstrates compliance to external entities; often mandatory by law or contract,5 Security Program Management Oversight
What are consequences of Non-compliance?,"Fines, sanctions, reputational damage, loss of license, and contractual impacts",5 Security Program Management Oversight
What are the three data states?,"Data at Rest, Data in Transit (Motion), and Data in Use",5 Security Program Management Oversight
What is Data Classification?,"Based on value to organization and sensitivity of information, determined by data owner",5 Security Program Management Oversight
What are commercial business classification levels?,"Public, Sensitive, Private, Confidential, and Critical",5 Security Program Management Oversight
What are government classification levels?,"Unclassified, Sensitive but Unclassified, Confidential, Secret, and Top Secret",5 Security Program Management Oversight
What is PII (Personally Identifiable Information)?,"Information used to identify an individual (names, SSNs, addresses)",5 Security Program Management Oversight
What is PHI (Protected Health Information)?,Information about health status linked to a specific individual; protected under HIPAA,5 Security Program Management Oversight
What is Data Sovereignty?,Digital information subject to laws of the country where it's located,5 Security Program Management Oversight
What is GDPR?,General Data Protection Regulation - protects EU citizens' data within EU and EEA borders,5 Security Program Management Oversight
What is Encryption?,Transform plaintext into ciphertext using algorithms and keys,5 Security Program Management Oversight
What is Hashing?,Converts data into fixed-size hash values; irreversible one-way function,5 Security Program Management Oversight
What is Masking?,"Replace some or all data with placeholders (e.g., 'x'); irreversible de-identification",5 Security Program Management Oversight
What is Tokenization?,Replace sensitive data with non-sensitive tokens; original data stored securely elsewhere,5 Security Program Management Oversight
What is Obfuscation?,Make data unclear or unintelligible using various techniques,5 Security Program Management Oversight
What is Segmentation?,Divide network into separate segments with unique security controls,5 Security Program Management Oversight
What is Geofencing?,Virtual boundaries to restrict data access based on location,5 Security Program Management Oversight
What is DLP (Data Loss Prevention)?,Strategy to prevent sensitive information from leaving an organization,5 Security Program Management Oversight
What is Endpoint DLP?,Installed as software on workstations; monitors data in use on individual computers,5 Security Program Management Oversight
What is Network DLP?,Placed at network perimeter; focuses on monitoring data entering and leaving the network,5 Security Program Management Oversight
What is Storage DLP?,Installed on server in data center; inspects data at rest,5 Security Program Management Oversight
What is Cloud DLP?,Offered as SaaS; protects data stored in cloud services,5 Security Program Management Oversight
What is Symmetric Encryption?,Uses a single key for both encryption and decryption; faster but has key distribution challenges,5 Security Program Management Oversight
What is Asymmetric Encryption?,"Uses two separate keys - public key for encryption, private key for decryption",5 Security Program Management Oversight
What is a Hybrid Approach in encryption?,"Combines symmetric and asymmetric encryption; asymmetric to share secret key, symmetric for bulk data transfer",5 Security Program Management Oversight
What is a Stream Cipher?,Encrypts data bit-by-bit or byte-by-byte in a continuous stream,5 Security Program Management Oversight
What is a Block Cipher?,"Breaks input data into fixed-size blocks before encryption (usually 64, 128, or 256 bits)",5 Security Program Management Oversight
What is DES?,Data Encryption Standard - uses 64-bit key (56 effective); widely used from 1970s to early 2000s,5 Security Program Management Oversight
What is 3DES (Triple DES)?,Utilizes three 56-bit keys; provides 112-bit key strength but is slower,5 Security Program Management Oversight
What is AES?,"Advanced Encryption Standard - supports 128, 192, or 256-bit keys; US government encryption standard",5 Security Program Management Oversight
What is Blowfish?,Block cipher with key sizes from 32 to 448 bits,5 Security Program Management Oversight
What is RC4?,Stream cipher with variable key sizes; used in SSL and WEP,5 Security Program Management Oversight
What is Diffie-Hellman?,Used for key exchange and secure key distribution; vulnerable to man-in-the-middle attacks,5 Security Program Management Oversight
What is RSA?,"Used for key exchange, encryption, and digital signatures; relies on factoring large prime numbers",5 Security Program Management Oversight
What is ECC (Elliptic Curve Cryptography)?,Efficient and secure; commonly used in mobile devices; six times more efficient than RSA,5 Security Program Management Oversight
What is ECDHE?,Elliptic Curve Diffie-Hellman Ephemeral - provides perfect forward secrecy,5 Security Program Management Oversight
What is MD5?,Message Digest Algorithm 5 - creates 128-bit hash; not recommended for security-critical applications,5 Security Program Management Oversight
What is SHA-1?,Secure Hash Algorithm 1 - produces 160-bit hash digest,5 Security Program Management Oversight
What is SHA-256?,Part of SHA-2 family; offers 256-bit hash digests,5 Security Program Management Oversight
What is SHA-3?,Uses 224 to 512-bit hash digests; more secure with 120 rounds of computations,5 Security Program Management Oversight
What is HMAC?,Hash-based Message Authentication Code - checks message integrity and authenticity,5 Security Program Management Oversight
What is a Digital Signature?,Hash digest of a message encrypted with sender's private key,5 Security Program Management Oversight
What is a Pass the Hash Attack?,Technique allowing attacker to authenticate using underlying hash of password instead of plaintext,5 Security Program Management Oversight
What is a Birthday Attack?,Occurs when two different messages result in same hash output (collision),5 Security Program Management Oversight
What is Key Stretching?,"Technique to mitigate weaker keys by creating longer, more secure keys",5 Security Program Management Oversight
What is Salting?,Adds random data to passwords before hashing to ensure distinct hash outputs,5 Security Program Management Oversight
What is a Nonce?,Number Used Once - adds unique random numbers to prevent replay attacks,5 Security Program Management Oversight
What is PKI (Public Key Infrastructure)?,Framework managing digital keys and certificates for secure data transfer,5 Security Program Management Oversight
What is a Digital Certificate?,Electronically signed document binding a public key with a user's identity,5 Security Program Management Oversight
What is X.509?,Commonly used standard for digital certificates within PKI,5 Security Program Management Oversight
What is a Wildcard Certificate?,Allows multiple subdomains to use the same certificate,5 Security Program Management Oversight
