Front,Back,Tags
"What is a security baseline?","A standard set of security configurations applied to systems to ensure a minimum security level.","4::Definitions"
"What is the primary goal of system hardening?","To reduce the attack surface by eliminating unnecessary services, ports, and permissions.","4::Definitions"
"What is the first step in system hardening?","Remove unnecessary services, software, and protocols.","4::Definitions"
"Why should unused ports be disabled?","To close potential entry points for attackers.","4::Definitions"
"What should be changed from default during hardening?","Default passwords, default accounts, default configurations, and default certificates.","4::Definitions"
"What is Secure Boot / UEFI?","A firmware security standard that verifies the bootloader's digital signature before allowing it to execute.","4::Definitions"
"What is a TPM (Trusted Platform Module)?","A dedicated hardware cryptographic chip that provides secure key storage, platform integrity measurement, and attestation.","4::Definitions"
"What is Full Disk Encryption (FDE)?","Encryption of the entire storage volume, including the OS, applications, and all data, with examples including BitLocker, FileVault, and LUKS.","4::Definitions"
"What is the difference between partition encryption, volume encryption, and file-level encryption?","Partition encryption encrypts one partition; volume encryption encrypts a logical volume (can span partitions); file-level encryption encrypts individual files.","4::Definitions"
"What is database encryption vs record-level encryption?","Database encryption encrypts the entire database at rest; record-level encryption encrypts individual rows or fields within the database.","4::Definitions"
"What is a Trusted OS?","An operating system that enforces mandatory access controls and security policies, such as SELinux (Linux) or AppArmor.","4::Definitions"
"What are the three SELinux modes?","Disabled (no policy enforcement), Permissive (logs policy violations but does not enforce), Enforcing (actively restricts based on policy).","4::Definitions"
"What is the principle of least functionality?","A hardening principle where only the minimum necessary services, features, and applications are enabled on a system.","4::Definitions"
"What is EDR (Endpoint Detection and Response)?","A security solution that continuously monitors endpoints for suspicious behavior, automates detection, and enables rapid response.","4::Definitions"
"What is XDR (Extended Detection and Response)?","A cross-layer security solution that integrates endpoint, network, cloud, and email telemetry for unified detection and response.","4::Definitions"
"What is MDR (Managed Detection and Response)?","An outsourced cybersecurity service where a third party provides monitoring, detection, and response on behalf of an organization.","4::Definitions"
"How does EDR differ from traditional antivirus?","EDR uses behavioral analysis and continuous monitoring rather than signature-based detection only, enabling detection of novel and fileless threats.","4::Definitions"
