Front,Back,Tags
"Event ID 4625 repeated 50+ times from same IP in 2 minutes?","Brute force attack. Event ID 4625 = failed logon (Windows Security Log). Multiple rapid failures from single source indicates password guessing. Exam trap: differentiate from dictionary attack (uses common password list vs sequential attempts).","Indicators::Windows::Attack"
"Event ID 4624 followed immediately by 4672 (special privilege assigned)?","Successful logon with admin privileges escalation. 4624 = successful logon. 4672 = admin privileges assigned to new logon. If from unusual source IP or off-hours, indicates compromise.","Indicators::Windows::Compromise"
"Event ID 4688: svchost.exe spawning powershell.exe with encoded command?","Lateral movement / malware execution. 4688 = process creation. svchost should NOT spawn PowerShell. Encoded (-EncodedCommand) is typical of Cobalt Strike / attacker tooling.","Indicators::Windows::Malware"
"Event ID 5156 repeated: outbound connections from workstation to unknown IP port 4444?","C2 beaconing / reverse shell. 5156 = Windows Filtering Platform connection allowed. Outbound to high port (4444 common for Metasploit) indicates command & control channel.","Indicators::Windows::C2"
"Event ID 7045: Service installed (sc.exe create WinUpdate) at 3 AM?","Persistence mechanism. 7045 = new service installed. Malware often installs as service named to mimic legitimate Windows services. Run key, scheduled tasks also common persistence.","Indicators::Windows::Persistence"
"Event ID 4740: Account locked out 3 times in 1 hour from 3 different source IPs?","Password spray attack. Account lockout from multiple sources = distributed guessing to avoid lockout threshold on single source. Attackers rotate IPs to evade detection.","Indicators::Windows::Attack"
"Event ID 1102: Security log cleared at 2 AM?","Evidence of cover-up. Attackers clear logs to hide activity. 1102 = audit log was cleared. Immediate investigation required — attacker likely already established persistence.","Indicators::Windows::Compromise"
"DNS query to 16-character random string .com every 60 seconds with 20% jitter?","DGA beaconing. Domain Generation Algorithm creates pseudorandom domains per epoch. Malware resolves to find C2 IP. Jitter (randomized interval) evades regular-interval detection.","Indicators::Network::C2"
"DNS TXT query to known malicious domain oversized response?","DNS tunneling / data exfiltration. Data encoded in TXT record queries/responses. Bypasses firewalls since DNS is usually allowed. Detect by: unusual TXT query volume, oversized responses.","Indicators::Network::Exfiltration"
"HTTP GET to /etc/passwd returning 200 with file contents?","Directory traversal success. ../.. sequences to escape web root. Should return 403/404. If returns 200 with /etc/passwd content, web server is compromised — immediate isolation needed.","Indicators::Web::Attack"
"HTTP POST to /search?q=<script>alert('xss')</script> with 'Referer: evil.com'?","Reflected XSS. Attacker injects script in URL parameter. Script executed in victim's browser when server reflects input without sanitization. Referer indicates attacker-controlled site delivered the crafted link.","Indicators::Web::Attack"
"5,000 HTTP requests to /login.php from single IP in 10 seconds with random usernames?","Credential stuffing. Automated login attempts using breached username/password lists. Different from brute force (sequential password attempts). Rate limiting + CAPTCHA mitigates.","Indicators::Web::Attack"
"'UNION SELECT * FROM users --' in URL parameter returning user table data?","SQL injection success. Attacker manipulates database query via unsanitized input. UNION adds results from another table. Mitigated by parameterized queries (prepared statements), not escaping.","Indicators::Web::Attack"
"Single HTTP request with 'User-Agent: Mozilla/5.0' to every common path (admin, wp-admin, .env)?","Automated scanner / reconnaissance. Tools like Dirb, Gobuster, Nikto enumerate directories/files. Logs show sequential requests to common paths regardless of 404 responses.","Indicators::Web::Recon"
"Outbound SMTP (port 25) from workstation to 25 different external mail servers in 1 minute?","Spam bot / malicious relay. Workstation compromised and sending spam. Legitimate servers use port 587 (submission). Workstations should never send port-25 SMTP.","Indicators::Network::Malware"
"Outbound HTTPS (443) to known-bad IP in country with no business relationship?","C2 over encrypted channel. Malware using HTTPS to blend with normal traffic. Destination IP in sanctioned/embargoed country is strong indicator. Block by IP reputation / threat intel feeds.","Indicators::Network::C2"
"ICMP echo replies with payload size > 64 bytes and irregular data patterns?","ICMP tunneling / covert channel. Data hidden in ICMP payload. Normal ping: 32-64 bytes. Oversized or variable-size ICMP with entropy indicates C2 or exfiltration over ICMP.","Indicators::Network::C2"
"Incomplete TCP handshakes (SYN → SYN-ACK, no final ACK) from thousands of unique IPs?","SYN flood DDoS. Three-way handshake: SYN → SYN-ACK → ACK. Attacker sends SYN but never ACKs. Server waits for ACK, exhausting connection table. Mitigate with SYN cookies.","Indicators::Network::Attack"
"Single IP: 10 failed logins (SSH), then successful login at 3 AM, then 5 GB data transfer to external IP?","Credential compromise + data exfiltration. Initial brute force succeeded. Attacker then exfiltrated data. Timeline: attack→access→exfil is classic intrusion pattern.","Indicators::Incident::Compromise"
"NanoCore / AgentTesla / Remcos process running on workstation with outbound connections?","RAT (Remote Access Trojan) infection. These are commodity malware with C2. AgentTesla = keylogger/stealer. Remcos = remote control. NanoCore = plugin-based RAT. All common on exam.","Indicators::Malware::RAT"
"PowerShell script downloaded from internet and executed via base64 encoded command?","Living-off-the-land attack. Attacker uses built-in Windows tools (PowerShell, WMI, certutil) to download and execute payload. No malware file written to disk — memory-only.","Indicators::Malware::Fileless"
"Process: wscript.exe or cscript.exe running with child process: powershell.exe?","Macro-based malware. VBScript/JavaScript (wscript/cscript) downloads or runs PowerShell payload. Common phishing attachment pattern. EDR detects parent-child anomaly.","Indicators::Malware::Phishing"
"USB device insertion followed by immediate execution of random-named .exe?","Baiting / USB drop attack. Attacker leaves infected USB drive. Autorun or user clicks malicious file. Mitigate: disable autorun, use GPO to block USB execution, endpoint protection.","Indicators::Physical::Attack"
"Network share (.csv or .xlsx) accessed by non-HR user at 2 AM, then external upload?","Insider threat / data theft. User accessing data outside job scope + off-hours + external upload = exfiltration. DLP should detect large outbound transfers of sensitive file types.","Indicators::Incident::Insider"
"Event ID 4688: reg.exe add HKLM\...\Run /v恶意 /t REG_SZ...?","Registry persistence (Run key). Malware adds entry to registry Run key so it executes at every boot. Common persistence locations: HKLM\Software\Microsoft\Windows\CurrentVersion\Run, RunOnce.","Indicators::Windows::Persistence"
"Event ID 4698: Scheduled task created to run .exe from AppData\Roaming?","Scheduled task persistence. 4698 = scheduled task created. Tasks in AppData\Roaming = unusual. Legitimate tasks run from System32 or Program Files.","Indicators::Windows::Persistence"
"Wireshark: ARP replies claiming 192.168.1.1 MAC is aa:bb:cc:dd:ee:ff (not actual gateway MAC)?","ARP spoofing / MITM. Attacker sends fake ARP replies, associating their MAC with gateway IP. Victim traffic routed through attacker. Mitigate: Dynamic ARP Inspection (DAI) on switches.","Indicators::Network::Attack"
"Nmap scan results: ports 22, 80, 443, 3306, 3389 open on public IP?","Attack surface enumeration. These ports indicate SSH, HTTP, HTTPS, MySQL, RDP — common targets. Web server: expected 80/443. RDP (3389) open to internet = high risk.","Indicators::Reconnaissance"
"User reports fake login page at 'cornpany-login.com' that looks like company portal 'company-login.com'?","Typosquatting / phishing infrastructure. Attacker registered lookalike domain. Common technique: swap letters, add hyphens, use different TLD (.net vs .com). Users enter creds → stolen.","Indicators::Web::Phishing"
"SMTP headers show 'Received: from [185.220.101.23]' but DKIM-Signature fails validation?","Email spoofing / phishing. DKIM failure means email claims to be from your domain but digital signature doesn't match. SPF + DKIM + DMARC (p=reject) prevents spoofing.","Indicators::Email::Attack"
"File downloaded: 'Invoice.pdf.exe' from email attachment?","Malicious attachment. Double extension tricks Windows (hides .exe if 'Hide extensions for known file types' enabled). User sees Invoice.pdf, actually runs .exe. Block EXE in email gateway.","Indicators::Email::Malware"
"User receives SMS: 'Your package is delayed, track here: bit.ly/3xK9mZ2'?","Smishing (SMS phishing). Shortened URL hides malicious destination. Social engineering: urgency + package tracking is common pretext.","Indicators::Mobile::Attack"
"Call to help desk: 'I'm VP Smith, I forgot my password, please reset and read me the new one'?","Pretexting / vishing. Attacker impersonates executive to manipulate help desk. Verify identity through separate channel before making changes. Call-back to known number.","Indicators::SocialEngineering"
"Employee brings personal USB drive to workstation, plugs in, files start encrypting with .locked extension?","Baiting + ransomware. USB drop infected workstation. Ransomware encrypts local + mapped drives. First step: isolate workstation from network immediately.","Indicators::Incident::Ransomware"
"Logs show user logged in from New York (US) at 9:00 AM and Tokyo (JP) at 9:15 AM same day?","Impossible travel. User physically cannot be in both cities in 15 minutes. Indicates credential compromise — legitimate user + attacker both active. Reset credentials, revoke sessions.","Indicators::Incident::Compromise"
"Firewall log: ALLOW 10.0.1.50:54321 → 203.0.113.88:445 (SMB) from non-file-server?","Lateral movement over SMB. Internal host connecting to external IP on port 445 (SMB) is abnormal. WannaCry/EternalBlue spread using SMBv1 vulnerability. Block SMB outbound (445) at perimeter.","Indicators::Network::LateralMovement"
"System performance slow, 99% disk activity on C:\, many files renamed to .crypted extension?","Ransomware in progress. File encryption + extension rename is signature of ransomware (e.g., .crypted, .encrypted, .lockbit). Immediate containment: isolate from network, disconnect storage.","Indicators::Incident::Ransomware"
"Web server log: %00 in URL parameter returning truncated response?","Null byte injection (%00 = null). Older languages (C, Perl) treat null as string terminator. Attacker bypasses file extension checks: file.php%00.jpg passes as .jpg but executes as .php.","Indicators::Web::Attack"
"Event ID 4670: Permissions on lsass.exe modified by process not named lsass.exe?","Credential dumping / LSASS access. 4670 = permissions modified. LSASS stores Windows credentials in memory. Mimikatz / similar tools access LSASS to dump hashes. EDR alerts on LSASS access.","Indicators::Windows::Attack"
"Network flow: internal server → external IP on port 53 (DNS) with 500 KB/s sustained transfer?","DNS tunneling / data exfiltration. DNS normally has small query/response sizes (avg ~100 bytes). Sustained high throughput over DNS indicates tunneling tool.","Indicators::Network::Exfiltration"
"User receives email with 'Dear [Name], click here to verify your account' linking to identical-looking login page?","Spear phishing. Targeted attack on specific individual. Email personalized with recipient name. Landing page clones legitimate site. More convincing than generic phishing.","Indicators::Email::Phishing"
"E-mail headers: SPF = fail, DKIM = none, DMARC = none. Email purportedly from CEO requesting wire transfer?","CEO fraud / business email compromise (BEC). No email authentication means anyone can spoof the domain. BEC = social engineering requesting wire transfer, gift cards, or sensitive data.","Indicators::Email::Attack"
"SIEM alert: 25 failed logins (Event 4625) from different usernames, single IP, all using 'Winter2026!' password?","Password spray attack. Single password tried against many accounts. Avoids account lockout (which triggers on per-user failures). Detect by: same password hash across multiple failed logons.","Indicators::Windows::Attack"
"Event ID 4656: Handle to SAM registry hive requested by non-SYSTEM process?","SAM hive access attempt. SAM (Security Account Manager) stores local password hashes. Only SYSTEM should access the SAM hive. Process requesting handle is likely credential dumping tool.","Indicators::Windows::Attack"
"Linux auth.log: Failed password for root from 185.130.5.1 port 22 ssh2 repeated 1000 times?","SSH brute force. Linux servers exposed to internet get constant SSH brute force. Mitigate: disable root SSH login, use key-based auth, fail2ban, change default port.","Indicators::Linux::Attack"
"Windows Defender alert: 'Trojan:Win32/Wacatac.B!ml' detected in Downloads folder?","Trojan download. User downloaded and saved malware to Downloads folder. Wacatac = info-stealer trojan. ML tag = machine learning detection. Malware likely delivered via browser drive-by download.","Indicators::Malware::Trojan"
"Process tree: Outlook.exe → cmd.exe → powershell.exe → rundll32.exe → regsvr32.exe?","Office macro → LOLBins chain. Attacker uses Living-off-the-Land Binaries (LOLBins): cmd, PowerShell, rundll32, regsvr32, mshta, certutil. Each is legitimate but abused.","Indicators::Malware::Fileless"
"Outbound HTTP request to pastebin.com from server containing base64-encoded data?","Data staging / exfiltration. Pastebin used as dead-drop resolver or exfil destination. Base64 encoding is basic obfuscation (easily decoded). DLP should detect and block.","Indicators::Network::Exfiltration"
"Event ID 4719: Windows Firewall rule modified to allow inbound 3389 from any?","Defense evasion. Attacker modifies firewall to enable RDP for persistence/access. 4719 = firewall rule changed. Monitor for unauthorized firewall rule additions.","Indicators::Windows::DefenseEvasion"
"MFT examination: file created/modified timestamps show 2000-01-01 for malware.exe?","Timestamping / anti-forensic. Attacker sets file timestamps to false date to evade timeline analysis. Timestamp anomalies in MFT (Master File Table) indicate deliberate manipulation.","Indicators::Forensics::AntiForensic"
"System has 2 administrator accounts: built-in Administrator + 'Admin_backup' created 3 days ago?","Backdoor account. Attacker creates hidden admin account for persistence. Named to blend in. Exam trap: audit user accounts regularly, disable unused accounts, monitor new account creation (Event 4720).","Indicators::Windows::Persistence"
"Memory dump of lsass.exe shows cleartext credentials?","Credential dumping succeeded. Tools like Mimikatz extract passwords from LSASS memory. Mitigate: enable Credential Guard (virtualization-based security), LSA protection, Windows Defender Credential Guard.","Indicators::Windows::Compromise"
"Scheduled task 'WindowsUpdate' runs daily at 2 AM but path is C:\Users\Public\update.exe?","Fake scheduled task for persistence. Legitimate Windows Update is a service, not a task in Users\Public. Malware named to look like system task. Compare with legit task path (System32).","Indicators::Windows::Persistence"
"1000+ HTTP 404 errors for /wp-admin, /admin, /.env from single IP in 2 minutes?","Web enumeration / reconnaissance. Automated tool probing for admin interfaces, config files, and known vulnerable paths. 404s mean server correctly blocked, but indicates active scanning.","Indicators::Web::Recon"
"User credentials submitted to http://fake-login.company.com (not https) — credentials visible on network?","Credential harvesting over HTTP. Fake login page served over HTTP (no padlock). Credentials sent in clear text. Even careful users may not notice HTTP vs HTTPS. Phishing awareness training.","Indicators::Web::Phishing"
