Front,Back,Tags
"Policy vs Standard vs Procedure vs Guideline","Policy: high-level requirements (what must be done). Standard: specific mandatory rules (how to comply). Procedure: step-by-step instructions. Guideline: recommended (not mandatory) suggestions.","5::Definitions"
"Acceptable Use Policy (AUP)","Policy defining acceptable use of IT resources: internet, email, systems. Prohibits unauthorized access, harassment, illegal activity. Users must acknowledge.","5::Definitions"
"Information Security Policy","Cornerstone document establishing security program scope, objectives, roles, responsibilities. High-level direction from management.","5::Definitions"
"Data Owner","Senior manager responsible for data classification, protection, and authorized access decisions. Accountable for data assets.","5::Definitions"
"Data Custodian / Steward","Implements technical controls per Data Owner directives. Manages access rights, backups, storage. Steward focuses on data quality and lifecycle.","5::Definitions"
"Data Controller (GDPR)","Entity that determines purposes, conditions, and means of processing personal data. Primary GDPR responsibility for compliance.","5::Definitions"
"Data Processor (GDPR)","Entity that processes personal data on behalf of the Data Controller. Must follow controller instructions, implement security measures.","5::Definitions"
"CISO (Chief Information Security Officer)","Senior executive responsible for security strategy, program management, policy, risk oversight, and board reporting.","5::Definitions"
"NIST CSF 5 Functions","Identify, Protect, Detect, Respond, Recover. Risk-based framework for improving cybersecurity posture.","5::Definitions"
"Governance vs Management","Governance: board/executive sets direction, policy, oversight. Management: implements, operates, executes controls and processes.","5::Definitions"
"Risk Management Lifecycle","1) Identify risks, 2) Analyze/assess impact, 3) Evaluate/treat, 4) Monitor/review, 5) Report/communicate. Continuous cycle.","5::Definitions"
"Qualitative Risk Analysis","Subjective assessment using ranking scales (High/Medium/Low, Red/Yellow/Green). Based on expert judgment, scenarios, intuition.","5::Definitions"
"Quantitative Risk Analysis","Numerical analysis using dollar values, probabilities, statistical data. Uses SLE, ARO, ALE formulas.","5::Definitions"
"SLE (Single Loss Expectancy)","AV x EF. Asset Value ($) times Exposure Factor (%). Expected monetary loss from a single incident.","5::Definitions"
"ARO (Annualized Rate of Occurrence)","Estimated frequency of a threat occurring per year. Used to calculate ALE.","5::Definitions"
"ALE (Annualized Loss Expectancy)","SLE x ARO. Expected annual monetary loss from a specific risk.","5::Definitions"
"Risk Register","Central document listing identified risks, risk level, owner, status, response strategy, treatment plan. Living document updated throughout lifecycle.","5::Definitions"
"Risk Appetite vs Risk Tolerance","Risk Appetite: willingness to accept risk in pursuit of objectives (broad). Risk Tolerance: acceptable deviation from risk appetite (specific threshold).","5::Definitions"
"KRI (Key Risk Indicator)","Predictive metric that signals changing risk levels. Early warning indicator (e.g., number of unpatched critical vulnerabilities).","5::Definitions"
"Residual Risk","Risk remaining after security controls are implemented. Formula: Residual = Inherent - Control Effectiveness.","5::Definitions"
"Control Risk","Risk that a security control may fail or become less effective over time due to misconfiguration, drift, or degradation.","5::Definitions"
"Inherent Risk","Risk level before any controls are applied. Raw risk associated with an activity or asset without mitigations.","5::Definitions"
"Risk Response Strategies (4)","Accept (acknowledge and budget), Transfer (insurance, outsourcing), Mitigate (reduce likelihood/impact via controls), Avoid (eliminate activity causing risk).","5::Definitions"
"Risk Treatment Plan","Documented actions for each identified risk: selected response, resources needed, timeline, responsible party, expected residual risk.","5::Definitions"
"AI Governance","Ethical frameworks, policies, and oversight for AI use in security. Ensures transparency, accountability, fairness, and compliance in AI-driven decisions.","5::Definitions"
"ML Model Validation","Testing ML models for bias, accuracy, robustness, and security before deployment. Includes adversarial testing, fairness metrics, performance benchmarks.","5::Definitions"
"Automated Control Testing","Continuous compliance verification using automated tools. Validates controls are operating effectively without manual intervention.","5::Definitions"
