Front,Back,Tags
"What is Secure Baseline Configuration?","Standardized secure starting point for systems. Includes: Hardened OS settings, required security controls, approved software versions. Baselines should be established, deployed, and maintained.","Domain4::SecurityTechniques"
"What is System Hardening?","Process of securing system by reducing attack surface. Steps: Remove unnecessary services/software, disable unused ports, apply patches, configure security settings, change default passwords.","Domain4::SecurityTechniques"
"What is Secure Boot?","UEFI feature ensuring only trusted software loads during boot process. Verifies digital signatures of bootloader, OS kernel, drivers. Prevents rootkits and boot-level malware.","Domain4::SecurityTechniques"
"What is a TPM (Trusted Platform Module)?","Hardware chip providing cryptographic functions. Uses: Secure key storage, hardware authentication, encryption support (BitLocker), secure boot verification, remote attestation.","Domain4::SecurityTechniques"
"What is EDR (Endpoint Detection and Response)?","Security solution monitoring endpoints for threats and enabling response. Features: Real-time monitoring, threat detection, incident investigation, automated response. Replaces traditional antivirus.","Domain4::SecurityTechniques"
"What is XDR (Extended Detection and Response)?","Evolution of EDR collecting and correlating data across multiple sources (endpoints, network, cloud, email). Provides broader visibility and faster threat detection.","Domain4::SecurityTechniques"
"What is Data Sovereignty and why does it matter?","Requirement that data be stored/processed within specific geographic boundaries. Compliance requirement (GDPR, local laws). Affects cloud architecture and provider selection.","Domain4::SecurityTechniques"
"What is ICS/SCADA Security?","Protecting industrial control systems. Challenges: Legacy systems, long lifecycles, availability requirements, specialized protocols. Approaches: Network segmentation, monitoring, physical security.","Domain4::SecurityTechniques"
"What is Mobile Device Management (MDM)?","Software managing mobile devices in enterprise. Capabilities: Remote wipe, policy enforcement, app management, encryption enforcement, inventory tracking. Essential for BYOD security.","Domain4::SecurityTechniques"
"What are BYOD, COPE, and CYOD deployment models?","BYOD: Bring Your Own Device (personal device for work). COPE: Corporate Owned, Personally Enabled (company device, personal use allowed). CYOD: Choose Your Own Device (select from approved list).","Domain4::SecurityTechniques"
"What is Wireless Security with WPA3?","Latest Wi-Fi security standard. Improvements over WPA2: SAE (Simultaneous Authentication of Equals) replaces PSK, forward secrecy, stronger encryption (GCMP-256), easier IoT onboarding.","Domain4::SecurityTechniques"
"What is Input Validation in application security?","Verifying user input meets expected format before processing. Prevents injection attacks. Types: Whitelist (allow known good), Blacklist (block known bad), Sanitization (clean input).","Domain4::SecurityTechniques"
"What is Static Code Analysis?","Analyzing source code without executing it. Finds: Vulnerabilities, coding errors, policy violations. Tools: SonarQube, Checkmarx, Fortify. Performed during development.","Domain4::SecurityTechniques"
"What is Code Signing?","Digitally signing code to verify publisher and ensure integrity. Users can trust signed code hasn't been modified. Requires code signing certificate from trusted CA.","Domain4::SecurityTechniques"
"What is Sandboxing in security operations?","Isolating applications/processes in restricted environment. Limits damage from compromise. Used for: Malware analysis, running untrusted code, browser isolation.","Domain4::SecurityTechniques"
