Front,Back,Tags
"Port 20/21 / Protocol: TCP / What is the purpose?","FTP (File Transfer Protocol). Port 20: Data transfer. Port 21: Control/commands. Unencrypted - use SFTP (22) or FTPS (990) instead. Legacy protocol.","Ref::Ports"
"Port 22 / Protocol: TCP / What is the purpose?","SSH (Secure Shell) - encrypted remote administration. Also used for SCP (Secure Copy) and SFTP (SSH File Transfer Protocol). Replaces Telnet for secure access.","Ref::Ports"
"Port 23 / Protocol: TCP / What is the purpose?","Telnet - unencrypted remote administration. Deprecated due to cleartext transmission. Never use in production - replaced by SSH (22).","Ref::Ports"
"Port 25 / Protocol: TCP / What is the purpose?","SMTP (Simple Mail Transfer Protocol) - sending email between servers. Often blocked by ISPs for residential use due to spam. Use submission port 587 for clients.","Ref::Ports"
"Port 53 / Protocol: TCP/UDP / What is the purpose?","DNS (Domain Name System) - translates domain names to IP addresses. UDP for queries, TCP for zone transfers. Critical infrastructure protocol.","Ref::Ports"
"Port 67/68 / Protocol: UDP / What is the purpose?","DHCP (Dynamic Host Configuration Protocol). Port 67: Server. Port 68: Client. Automatically assigns IP addresses and network configuration.","Ref::Ports"
"Port 69 / Protocol: UDP / What is the purpose?","TFTP (Trivial File Transfer Protocol) - simple, unauthenticated file transfer. No encryption or authentication. Used for: PXE boot, firmware updates, VoIP configs.","Ref::Ports"
"Port 80 / Protocol: TCP / What is the purpose?","HTTP (Hypertext Transfer Protocol) - unencrypted web traffic. Port 80 redirects to HTTPS (443). Should not transmit sensitive data over HTTP.","Ref::Ports"
"Port 110 / Protocol: TCP / What is the purpose?","POP3 (Post Office Protocol v3) - retrieving email. Downloads messages to client, typically deletes from server. Unencrypted - use POP3S (995).","Ref::Ports"
"Port 143 / Protocol: TCP / What is the purpose?","IMAP (Internet Message Access Protocol) - accessing email on server. Keeps messages on server, synchronized across devices. Unencrypted - use IMAPS (993).","Ref::Ports"
"Port 161/162 / Protocol: UDP / What is the purpose?","SNMP (Simple Network Management Protocol). Port 161: Queries. Port 162: Traps (alerts). Manages network devices. Use SNMPv3 for encryption/authentication.","Ref::Ports"
"Port 389 / Protocol: TCP/UDP / What is the purpose?","LDAP (Lightweight Directory Access Protocol) - directory services authentication. Unencrypted - use LDAPS (636) for secure authentication.","Ref::Ports"
"Port 443 / Protocol: TCP / What is the purpose?","HTTPS (HTTP Secure) - encrypted web traffic using TLS/SSL. Standard for secure websites. Look for padlock icon in browser.","Ref::Ports"
"Port 445 / Protocol: TCP / What is the purpose?","SMB (Server Message Block) - Windows file/printer sharing. Successor to NetBIOS. Used by: File shares, Active Directory, administrative shares.","Ref::Ports"
"Port 587 / Protocol: TCP / What is the purpose?","SMTP Submission - clients sending email to server. Uses STARTTLS for encryption. Preferred over port 25 for client email submission.","Ref::Ports"
"Port 636 / Protocol: TCP / What is the purpose?","LDAPS (LDAP Secure) - encrypted LDAP using SSL/TLS. Port for secure directory services authentication. Use instead of 389.","Ref::Ports"
"Port 993 / Protocol: TCP / What is the purpose?","IMAPS (IMAP Secure) - encrypted IMAP. SSL/TLS encrypted email retrieval. Secure alternative to port 143.","Ref::Ports"
"Port 995 / Protocol: TCP / What is the purpose?","POP3S (POP3 Secure) - encrypted POP3. SSL/TLS encrypted email retrieval. Secure alternative to port 110.","Ref::Ports"
"Port 1433 / Protocol: TCP / What is the purpose?","Microsoft SQL Server - database connections. Default port for MSSQL. Often targeted in attacks. Should be firewalled and not exposed to internet.","Ref::Ports"
"Port 3389 / Protocol: TCP/UDP / What is the purpose?","RDP (Remote Desktop Protocol) - Windows remote desktop. Common attack target. Should use: VPN, NLA, strong passwords, account lockout.","Ref::Ports"
"Port 5060/5061 / Protocol: TCP/UDP / What is the purpose?","SIP (Session Initiation Protocol) - VoIP call setup. Port 5060: Unencrypted. Port 5061: Encrypted (SIPS). Manages voice/video sessions.","Ref::Ports"
"Port 49 / Protocol: TCP / What is the purpose?","TACACS+ (Terminal Access Controller Access Control System Plus) - Cisco authentication protocol. Separates AAA functions. Preferred for device administration over RADIUS.","Ref::Ports"
"Port 88 / Protocol: TCP/UDP / What is the purpose?","Kerberos - network authentication protocol. Uses tickets for SSO. Port 88 for KDC (Key Distribution Center). Default in Active Directory.","Ref::Ports"
"Port 123 / Protocol: UDP / What is the purpose?","NTP (Network Time Protocol) - time synchronization. Critical for: Logs, certificates, authentication. Should be secured (NTPS) to prevent amplification attacks.","Ref::Ports"
"Port 135 / Protocol: TCP/UDP / What is the purpose?","MS-RPC (Microsoft Remote Procedure Call) - Windows communication. Used by DCOM, WMI. Often targeted in Windows attacks.","Ref::Ports"
"Port 137-139 / Protocol: TCP/UDP / What is the purpose?","NetBIOS - legacy Windows networking. 137: Name service. 138: Datagram service. 139: Session service. Superseded by direct SMB (445).","Ref::Ports"
"Port 162 / Protocol: UDP / What is the purpose?","SNMP Traps - alerts sent from managed devices to SNMP manager. Asynchronous notifications of events (reboots, thresholds, errors).","Ref::Ports"
"Port 179 / Protocol: TCP / What is the purpose?","BGP (Border Gateway Protocol) - routing protocol for internet. Exchanges routing information between autonomous systems. Critical internet infrastructure.","Ref::Ports"
"Port 201 / Protocol: TCP / What is the purpose?","AppleTalk - legacy Apple networking protocol. Rarely used today. May appear in legacy environments.","Ref::Ports"
"Port 3268/3269 / Protocol: TCP / What is the purpose?","Global Catalog (LDAP). 3268: Unencrypted. 3269: Encrypted (SSL). Used for Active Directory forest-wide searches.","Ref::Ports"
"Port 500 / Protocol: UDP / What is the purpose?","ISAKMP/IKE (Internet Security Association and Key Management Protocol) - IPsec key exchange. Establishes VPN tunnels.","Ref::Ports"
"Port 1701 / Protocol: UDP / What is the purpose?","L2TP (Layer 2 Tunneling Protocol) - VPN tunneling. Often combined with IPsec (L2TP/IPsec) for encryption. Port 1701 for L2TP alone.","Ref::Ports"
