Front,Back,Tags
"What is an APT (Advanced Persistent Threat)?","Sophisticated, long-term cyberattack by well-funded adversaries (often nation-state). Characteristics: Stealthy, persistent presence, targeted, advanced techniques. Goal: Data exfiltration/espionage over extended period.","Domain2::ThreatActors"
"What is a Script Kiddie?","Unskilled attacker using pre-made tools/scripts without understanding how they work. Low sophistication, high numbers. Motivation: Thrill, reputation, curiosity. Easy to defend against with basic controls.","Domain2::ThreatActors"
"What is a Hacktivist?","Attacker motivated by political/philosophical beliefs. Uses attacks to promote agenda, embarrass targets, or protest. Examples: Anonymous, DDoS against government sites, website defacement.","Domain2::ThreatActors"
"What is an Insider Threat?","Attack from within organization by employee, contractor, or partner. Types: Malicious (intentional harm) or Negligent (accidental). Harder to detect due to legitimate access.","Domain2::ThreatActors"
"What is a Nation-State actor?","Government-sponsored attacker with significant resources and sophistication. Motivations: Espionage, sabotage, intellectual property theft. Examples: APT groups attributed to specific countries.","Domain2::ThreatActors"
"What is Organized Crime in cyber threats?","Criminal groups operating for financial gain. Sophisticated operations with division of labor. Activities: Ransomware, data theft for sale, fraud, money laundering.","Domain2::ThreatActors"
"What is Shadow IT?","Use of IT systems/devices without organizational approval. Creates security gaps as these systems aren't monitored/patched. Example: Employee using personal cloud storage for work files.","Domain2::ThreatActors"
"What are common threat actor motivations?","Data exfiltration, espionage, service disruption, blackmail, financial gain, philosophical/political beliefs, ethical concerns, revenge, disruption/chaos, warfare.","Domain2::ThreatActors"
"What is the difference between internal and external threat actors?","Internal: Already inside network, may have legitimate access (employees, contractors). External: Outside network perimeter, must breach defenses (hackers, nation-states).","Domain2::ThreatActors"
"What is Phishing?","Social engineering attack using fraudulent communications (email) to steal credentials or deploy malware. Mass-targeted, generic messages. Success relies on volume.","Domain2::ThreatVectors"
"What is Spear Phishing?","Targeted phishing aimed at specific individual/organization. Uses personalized information to appear legitimate. Much higher success rate than generic phishing.","Domain2::ThreatVectors"
"What is Whaling?","Phishing targeting high-value individuals (executives, C-suite). Highly personalized and sophisticated. Goal: Wire fraud, sensitive data, or access to executive privileges.","Domain2::ThreatVectors"
"What is Vishing?","Voice phishing using phone calls. Attacker impersonates legitimate entity (bank, IT support, IRS) to extract information or convince victim to take action.","Domain2::ThreatVectors"
"What is Smishing?","SMS/text message phishing. Uses text messages with malicious links. Increasingly common as mobile usage grows and email filters improve.","Domain2::ThreatVectors"
"What is Business Email Compromise (BEC)?","Attack compromising business email to conduct fraud. Types: CEO fraud (impersonate executive), account compromise, attorney impersonation. Result: Wire transfer fraud.","Domain2::ThreatVectors"
"What is Pretexting?","Creating fabricated scenario (pretext) to manipulate victim. Attacker assumes false identity to gain trust. Example: Posing as IT support to get password reset.","Domain2::ThreatVectors"
"What is a Watering Hole attack?","Compromising website frequented by target group. Victims infected when visiting legitimate site they trust. Targets specific organizations through their common browsing habits.","Domain2::ThreatVectors"
"What is Typosquatting?","Registering domains similar to legitimate sites with typos (gooogle.com, facebok.com). Users who mistype URL land on malicious site. Used for phishing and malware distribution.","Domain2::ThreatVectors"
"What is a Supply Chain attack?","Targeting less-secure elements in supply chain to reach ultimate target. Examples: Compromised software updates, hardware with backdoors, MSP breaches affecting multiple clients.","Domain2::ThreatVectors"
"What is a Zero-Day vulnerability?","Vulnerability unknown to vendor/no patch available. Highly valuable to attackers. Mitigation: Defense in depth, behavioral detection, threat hunting. Patch immediately when available.","Domain2::ThreatVectors"
"What is Impersonation in social engineering?","Attacker poses as someone else (employee, vendor, authority figure). Can be in person, phone, or digital. Relies on authority, urgency, or trust.","Domain2::ThreatVectors"
"What is Brand Impersonation?","Creating fake websites/social media accounts mimicking legitimate brand. Used for credential harvesting and fraud. Often combined with phishing emails.","Domain2::ThreatVectors"
"What is a Buffer Overflow vulnerability?","Software vulnerability where program writes more data to buffer than it can hold. Overflows into adjacent memory. Can crash system or allow code execution.","Domain2::Vulnerabilities"
"What is a Race Condition?","Behavior depends on relative timing of events. Security issue when attacker can influence timing. Types: Time-of-Check to Time-of-Use (TOC/TOU) vulnerabilities.","Domain2::Vulnerabilities"
"What is Time-of-Check to Time-of-Use (TOC/TOU)?","Race condition where system checks authorization, then uses resource. Attacker changes resource between check and use. Example: File access checks, privilege escalation.","Domain2::Vulnerabilities"
"What is SQL Injection (SQLi)?","Attacker inserts malicious SQL code into input fields. Can read, modify, or delete database data. Prevention: Parameterized queries, input validation, WAF.","Domain2::Vulnerabilities"
"What is Cross-Site Scripting (XSS)?","Injecting malicious scripts into web pages viewed by others. Types: Stored (persistent), Reflected (immediate), DOM-based. Steals cookies, session tokens, or defaces sites.","Domain2::Vulnerabilities"
"What is a Zero-Day vulnerability vs Zero-Day exploit?","Vulnerability: Unknown flaw with no patch. Exploit: Code that takes advantage of vulnerability. Zero-day = vendor has 'zero days' to fix before exploitation.","Domain2::Vulnerabilities"
"What is a Memory Injection attack?","Injecting malicious code into process memory. Examples: DLL injection, process hollowing. Bypasses traditional file-based detection. Used by advanced malware.","Domain2::Vulnerabilities"
"What is Input Validation and why is it critical?","Verifying user input meets expected format/type before processing. Prevents injection attacks (SQLi, XSS, command injection). First line of defense for applications.","Domain2::Vulnerabilities"
"What is a Misconfiguration vulnerability?","System/application deployed with insecure settings. Examples: Default passwords, unnecessary services enabled, overly permissive permissions. Common and easily exploitable.","Domain2::Vulnerabilities"
"What is Firmware vulnerability?","Security flaw in device firmware (BIOS, UEFI, IoT). Often overlooked in patching. Can provide persistent access (survives OS reinstallation). Difficult to detect and remediate.","Domain2::Vulnerabilities"
"What is VM Escape vulnerability?","Attack breaking out of virtual machine to access host or other VMs. Critical in cloud environments. Mitigation: Keep hypervisor patched, network segmentation.","Domain2::Vulnerabilities"
"What is Side-Loading on mobile devices?","Installing apps from unofficial sources (outside app stores). Bypasses security review. Major vector for mobile malware. Mitigation: MDM policies restricting unknown sources.","Domain2::Vulnerabilities"
"What is Jailbreaking/Rooting?","Removing manufacturer/carrier restrictions on mobile devices. Disables security controls, voids warranty, increases attack surface. Makes devices non-compliant with security policies.","Domain2::Vulnerabilities"
"What is End-of-Life (EOL) system vulnerability?","Systems no longer receiving security patches. Vulnerabilities accumulate over time. High risk - should be upgraded or isolated. Common with legacy systems.","Domain2::Vulnerabilities"
"What is a Virus?","Malware that attaches to legitimate programs/files. Requires user action to spread. Can corrupt files, steal data, or provide backdoor access. Needs host program.","Domain2::MaliciousActivity"
"What is a Worm?","Self-replicating malware spreading across networks without user interaction. Exploits vulnerabilities to propagate. Consumes bandwidth, can carry payloads. More dangerous than viruses.","Domain2::MaliciousActivity"
"What is a Trojan (Trojan Horse)?","Malware disguised as legitimate software. Tricks user into installing. Doesn't self-replicate. Provides backdoor access, steals data, or downloads additional malware.","Domain2::MaliciousActivity"
"What is Ransomware?","Malware encrypting victim's files demanding payment for decryption. Modern variants steal data too (double extortion). Prevention: Backups, patching, email security.","Domain2::MaliciousActivity"
"What is a Rootkit?","Malware hiding its presence and other malware. Deep system integration (kernel, firmware). Very difficult to detect and remove. Often requires complete system rebuild.","Domain2::MaliciousActivity"
"What is a Logic Bomb?","Malware triggered by specific condition (date, event, action). Remains dormant until triggered. Often planted by insiders. Hard to detect during dormant phase.","Domain2::MaliciousActivity"
"What is Spyware?","Malware collecting information without consent. Types: Keyloggers (keystrokes), Adware (browsing habits), Info-stealers (credentials). Often bundled with legitimate software.","Domain2::MaliciousActivity"
"What is a Keylogger?","Malware/hardware recording keystrokes. Captures passwords, credit cards, messages. Software keylogs: Hidden processes. Hardware: Physical device on keyboard cable.","Domain2::MaliciousActivity"
"What is Bloatware?","Unwanted pre-installed software consuming resources. May have security vulnerabilities. Includes trialware, adware, manufacturer utilities. Should be removed during hardening.","Domain2::MaliciousActivity"
"What is a Remote Access Trojan (RAT)?","Trojan providing attacker remote control of infected system. Capabilities: Screen capture, keystroke logging, file access, webcam activation. Used for espionage.","Domain2::MaliciousActivity"
"What is a DoS (Denial of Service) attack?","Overwhelming target with traffic/requests to make service unavailable. Single source. Goal: Disruption, extortion, distraction from other attacks.","Domain2::MaliciousActivity"
"What is a DDoS (Distributed Denial of Service) attack?","DoS attack from multiple distributed sources (botnet). Much harder to block. Types: Volumetric (bandwidth), Protocol (resources), Application (layer 7).","Domain2::MaliciousActivity"
"What is an On-Path Attack (Man-in-the-Middle)?","Attacker intercepts communication between two parties. Can eavesdrop or modify traffic. Prevention: Encryption (TLS), certificate pinning, mutual authentication.","Domain2::MaliciousActivity"
"What is a Replay Attack?","Capturing valid data transmission and retransmitting it. Can replay authentication tokens or transactions. Prevention: Timestamps, nonces, session tokens, sequence numbers.","Domain2::MaliciousActivity"
"What is a Downgrade Attack?","Forcing system to use weaker/older protocol version. Example: Forcing TLS 1.0 instead of 1.3. Prevention: Disable weak protocols, enforce minimum versions.","Domain2::MaliciousActivity"
"What is a Birthday Attack?","Cryptographic attack exploiting probability theory (birthday paradox). Finds hash collisions faster than brute force. Affects hash functions with smaller output sizes.","Domain2::MaliciousActivity"
"What is a Password Spraying attack?","Trying common passwords against many accounts. Avoids account lockout by limiting attempts per account. Opposite of brute force (many passwords, one account).","Domain2::MaliciousActivity"
